Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,68.22,68.29,65.3,65.65,2301300,0.0,0
2008-01-03,66.06,66.39,63.6,63.85,1775000,0.0,0
2008-01-04,63.57,63.57,60.98,61.01,1899400,0.0,0
2008-01-07,61.62,63.26,59.66,61.01,2699400,0.0,0
2008-01-08,61.28,61.96,57.92,57.99,2060500,0.0,0
2008-01-09,57.95,58.76,56.66,58.74,2985800,0.0,0
2008-01-10,57.56,58.81,56.28,58.2,2503800,0.0,0
2008-01-11,57.98,60.03,56.69,58.96,2270400,0.0,0
2008-01-14,59.54,61.38,58.59,61.18,1964000,0.0,0
2008-01-15,60.64,61.98,59.97,60.03,2993100,0.0,0
2008-01-16,59.63,62.59,59.6,61.17,2411600,0.0,0
2008-01-17,61.24,61.49,57.13,57.38,2449800,0.0,0
2008-01-18,57.89,58.85,55.8,56.75,2621400,0.0,0
2008-01-22,53.91,57.28,52.69,56.85,3190200,0.0,0
2008-01-23,55.07,59.61,51.72,59.28,3689000,0.0,0
2008-01-24,59.73,61.79,59.62,61.0,3483000,0.0,0
2008-01-25,61.7,63.16,59.82,60.52,2065300,0.0,0
2008-01-28,60.57,63.33,60.14,63.22,2208800,0.0,0
2008-01-29,63.4,65.15,62.96,64.73,1545600,0.0,0
2008-01-30,65.15,66.27,63.3,63.69,3603300,0.0,0
2008-01-31,62.64,68.51,61.0,67.23,5517100,0.0,0
2008-02-01,66.96,67.57,65.16,66.55,3300000,0.0,0
2008-02-04,66.14,66.75,64.78,64.81,2655900,0.0,0
2008-02-05,62.69,62.69,58.79,59.73,4602400,0.0,0
2008-02-06,60.25,61.45,59.45,60.02,2233800,0.0,0
2008-02-07,59.79,61.69,59.74,60.73,1670500,0.0,0
2008-02-08,60.35,61.53,60.01,60.27,1423000,0.0,0
2008-02-11,60.27,60.4,58.9,59.66,2498800,0.0,0
2008-02-12,59.93,60.45,58.17,58.73,2031900,0.0,0
2008-02-13,59.41,60.86,57.14,60.53,2772300,0.0,0
2008-02-14,59.19,60.11,57.07,57.59,3231000,0.0,0
2008-02-15,56.71,59.55,56.71,57.25,2195100,0.0,0
2008-02-19,58.02,58.62,56.88,57.13,1220500,0.0,0
2008-02-20,56.56,59.43,56.3,59.06,1595600,0.0,0
2008-02-21,59.82,60.06,58.09,58.94,3378900,0.49,0
2008-02-22,59.01,59.19,57.26,59.06,2136200,0.0,0
2008-02-25,58.86,60.56,58.06,60.45,1506300,0.0,0
2008-02-26,60.27,62.35,59.98,61.89,1945400,0.0,0
2008-02-27,61.4,62.13,60.86,61.78,1229200,0.0,0
2008-02-28,61.45,62.4,60.73,62.1,2159600,0.0,0
2008-02-29,61.3,61.49,60.22,60.66,1531900,0.0,0
2008-03-03,60.61,62.16,60.34,61.65,2337000,0.0,0
2008-03-04,60.96,62.07,60.34,61.53,3074600,0.0,0
2008-03-05,61.94,62.85,60.69,61.0,2579100,0.0,0
2008-03-06,60.63,60.89,57.71,57.88,2970800,0.0,0
2008-03-07,57.31,58.68,56.22,56.65,1924800,0.0,0
2008-03-10,56.59,56.59,54.47,54.64,2373100,0.0,0
2008-03-11,55.98,56.97,54.43,56.97,2367200,0.0,0
2008-03-12,56.99,58.21,55.98,57.03,1284500,0.0,0
2008-03-13,56.24,57.25,53.53,57.03,2288400,0.0,0
2008-03-14,57.56,57.87,54.75,56.49,1674300,0.0,0
2008-03-17,55.47,56.59,53.84,55.57,1671600,0.0,0
2008-03-18,56.74,58.46,56.53,58.22,2247500,0.0,0
2008-03-19,58.99,60.32,55.75,55.75,1727900,0.0,0
