Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,38.08,38.77,37.53,38.16,1745600,0.0,0.0
2008-01-03,38.06,38.19,36.61,36.81,1963900,0.0,0.0
2008-01-04,36.53,36.64,35.74,36.03,2612600,0.0,0.0
2008-01-07,36.18,36.74,35.37,36.52,2959500,0.0,0.0
2008-01-08,36.52,37.41,34.42,34.49,3010100,0.0,0.0
2008-01-09,34.37,35.74,33.68,35.63,2907600,0.0,0.0
2008-01-10,35.19,37.35,34.54,36.61,3445600,0.0,0.0
2008-01-11,36.34,37.48,35.65,36.3,3022800,0.0,0.0
2008-01-14,36.6,36.87,35.09,36.12,2369200,0.0,0.0
2008-01-15,35.29,36.16,34.84,35.58,2184400,0.0,0.0
2008-01-16,35.08,36.9,35.08,36.27,3133000,0.0,0.0
2008-01-17,36.23,36.61,35.45,35.6,2842500,0.0,0.0
2008-01-18,35.68,36.35,34.79,35.39,3265900,0.0,0.0
2008-01-22,33.75,36.7,33.75,36.3,3363800,0.0,0.0
2008-01-23,35.67,40.58,35.67,40.35,6310500,0.0,0.0
2008-01-24,40.15,40.27,38.73,39.13,3007500,0.0,0.0
2008-01-25,39.5,40.04,37.86,38.5,2464700,0.0,0.0
2008-01-28,38.66,40.19,38.29,40.16,2073700,0.9,0.0
2008-01-29,40.31,40.34,39.26,39.79,1463600,0.0,0.0
2008-01-30,39.82,40.63,38.68,38.94,2193400,0.0,0.0
2008-01-31,38.57,40.7,38.29,39.85,3084300,0.0,0.0
2008-02-01,39.97,41.68,39.7,41.49,2780100,0.0,0.0
2008-02-04,41.49,41.72,40.54,41.23,2129800,0.0,0.0
2008-02-05,40.47,41.43,39.82,39.82,2788100,0.0,0.0
2008-02-06,39.87,40.15,38.64,38.7,1946100,0.0,0.0
2008-02-07,38.82,39.88,38.4,39.65,1960000,0.0,0.0
2008-02-08,39.41,39.54,37.52,38.0,2174200,0.0,0.0
2008-02-11,38.05,38.28,37.24,37.38,1590100,0.0,0.0
2008-02-12,37.44,38.82,37.43,38.52,1900100,0.0,0.0
2008-02-13,38.75,39.34,37.85,39.0,2093800,0.0,0.0
2008-02-14,39.0,39.17,37.91,38.25,1675500,0.0,0.0
2008-02-15,38.18,38.33,37.47,38.33,1527800,0.0,0.0
2008-02-19,38.77,38.94,37.51,37.88,1386900,0.0,0.0
2008-02-20,37.47,38.68,37.4,38.67,1733600,0.0,0.0
2008-02-21,38.65,39.09,37.71,37.85,2070300,0.0,0.0
2008-02-22,38.07,38.6,37.48,38.6,1597000,0.0,0.0
2008-02-25,38.56,39.78,38.02,39.78,2099600,0.0,0.0
2008-02-26,39.01,39.94,38.87,39.43,3299800,0.0,0.0
2008-02-27,39.11,39.53,38.37,38.47,2070800,0.0,0.0
2008-02-28,38.46,38.46,37.1,37.31,2179400,0.0,0.0
2008-02-29,36.82,37.45,36.64,36.88,2215200,0.0,0.0
2008-03-03,37.21,37.43,36.33,37.13,2874500,0.0,0.0
2008-03-04,36.92,37.1,36.21,36.57,2488700,0.0,0.0
2008-03-05,36.85,37.4,36.43,36.98,1454200,0.0,0.0
2008-03-06,36.73,36.92,35.12,35.21,2382500,0.0,0.0
2008-03-07,35.17,36.14,34.83,35.75,3277100,0.0,0.0
2008-03-10,35.67,35.86,34.73,34.82,2319600,0.0,0.0
2008-03-11,36.84,38.09,35.53,37.92,3310900,0.0,0.0
2008-03-12,37.73,38.4,36.68,36.68,2599000,0.0,0.0
2008-03-13,35.95,37.76,35.31,37.27,2651200,0.0,0.0
2008-03-14,37.46,37.56,35.25,35.52,3579700,0.0,0.0
2008-03-17,34.82,35.32,33.82,34.75,3638100,0.0,0.0
2008-03-18,34.8,36.28,34.64,36.28,4560400,0.0,0.0
2008-03-19,36.84,36.97,35.99,36.18,2492900,0.0,0.0
2008-03-20,36.22,38.15,36.22,38.01,3567000,0.0,0.0
2008-03-24,38.31,39.23,38.1,38.82,3269800,0.0,0.0
2008-03-25,38.97,39.39,38.59,39.38,2411500,0.0,0.0
2008-03-26,39.06,39.13,38.35,38.44,1934400,0.0,0.0
2008-03-27,38.61,39.15,38.32,38.38,2003500,0.0,0.0
2008-03-28,38.41,39.07,38.06,38.67,2371800,0.0,0.0
2008-03-31,38.73,39.3,38.05,38.05,2126800,0.0,0.0
2008-04-01,38.93,40.2,38.47,40.13,2802600,0.0,0.0
2008-04-02,40.13,40.78,39.54,40.22,2306200,0.0,0.0
2008-04-03,39.98,41.41,39.83,41.29,2034900,0.0,0.0
2008-04-04,41.37,41.44,39.51,39.62,2992500,0.0,0.0
2008-04-07,39.84,40.05,39.07,39.51,2558200,0.0,0.0
2008-04-08,39.45,39.72,39.03,39.2,1691200,0.0,0.0
2008-04-09,39.46,39.72,38.48,38.55,1636500,0.0,0.0
2008-04-10,38.64,39.31,38.25,39.01,1463600,0.0,0.0
2008-04-11,38.83,39.06,38.42,38.57,2340700,0.0,0.0
2008-04-14,38.45,38.95,38.03,38.09,1327600,0.0,0.0
2008-04-15,38.28,38.71,37.93,38.56,1744000,0.0,0.0
2008-04-16,38.99,40.26,38.66,40.22,2061700,0.0,0.0
2008-04-17,40.02,40.55,39.73,40.51,1146000,0.0,0.0
2008-04-18,41.12,41.32,40.28,40.59,1873300,0.0,0.0
2008-04-21,40.29,40.57,40.03,40.15,1124400,0.0,0.0
2008-04-22,40.27,40.89,39.97,40.33,1732600,0.0,0.0
2008-04-23,40.76,41.61,40.38,41.17,1763300,0.0,0.0
2008-04-24,40.28,41.99,40.22,41.94,2661200,0.0,0.0
2008-04-25,42.06,42.32,41.31,41.82,1344800,0.0,0.0
2008-04-28,41.91,42.04,41.49,41.96,1913800,0.0,0.0
2008-04-29,41.93,42.15,41.61,41.82,2200600,0.0,0.0
2008-04-30,41.86,42.37,41.08,41.08,1646900,0.0,0.0
2008-05-01,41.27,42.32,40.94,42.17,2299800,0.0,0.0
2008-05-02,42.88,43.19,42.24,42.38,2187100,0.0,0.0
2008-05-05,42.31,44.0,42.1,42.42,1276800,0.0,0.0
2008-05-06,41.72,42.59,41.72,42.56,1314300,0.0,0.0
2008-05-07,42.66,42.81,41.65,41.69,1330700,0.0,0.0
2008-05-08,42.17,42.3,41.59,41.76,1160600,0.9,0.0
2008-05-09,41.56,42.1,41.14,41.35,1019700,0.0,0.0
2008-05-12,41.77,42.75,41.36,42.72,1173400,0.0,0.0
2008-05-13,42.94,42.99,42.36,42.88,1067100,0.0,0.0
2008-05-14,43.21,43.76,42.88,43.5,1426700,0.0,0.0
2008-05-15,43.42,43.83,43.07,43.83,1188100,0.0,0.0
2008-05-16,43.76,43.95,43.07,43.45,1226100,0.0,0.0
2008-05-19,43.59,44.17,43.35,43.86,1145400,0.0,0.0
2008-05-20,43.76,43.88,42.91,43.11,1211500,0.0,0.0
2008-05-21,43.05,43.68,42.28,42.34,1639600,0.0,0.0
