Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,62.31,62.87,61.55,61.68,317033.0,0.0,0
2018-02-14,,,,,,0.45,0
2018-03-05,59.21,60.26,58.97,60.12,357391.0,0.0,0
2018-03-13,59.96,60.46,59.61,59.8,792433.0,0.0,0
2018-03-14,60.3,62.28,60.3,61.74,857309.0,0.0,0
2018-03-15,61.65,62.51,61.61,62.18,824495.0,0.0,0
2018-03-16,62.38,63.26,62.22,63.08,1727911.0,0.0,0
2018-03-19,62.68,63.05,62.19,62.58,488364.0,0.0,0
2018-03-20,62.62,63.02,61.82,61.97,308499.0,0.0,0
2018-03-21,62.03,62.71,62.03,62.26,253897.0,0.0,0
2018-03-22,62.22,63.05,61.73,61.88,410860.0,0.0,0
2018-03-23,62.11,62.55,61.06,61.17,518309.0,0.0,0
2018-03-26,61.46,62.19,61.24,62.1,757874.0,0.0,0
2018-03-27,62.23,62.91,61.59,62.15,419260.0,0.0,0
2018-03-28,62.2,62.7,61.68,62.4,323428.0,0.0,0
2018-03-29,62.48,62.94,62.42,62.69,323693.0,0.0,0
2018-04-02,62.69,63.01,61.35,62.01,417305.0,0.0,0
2018-04-03,62.05,63.29,61.73,62.83,472891.0,0.0,0
2018-04-04,62.39,63.47,61.88,63.16,492473.0,0.0,0
2018-04-05,63.33,64.24,62.62,63.96,833228.0,0.0,0
2018-04-06,63.69,64.77,63.69,64.34,1055210.0,0.0,0
2018-04-09,64.24,64.45,63.65,64.1,365861.0,0.0,0
2018-04-10,64.16,64.16,63.64,63.67,282318.0,0.0,0
2018-04-11,63.59,63.84,62.99,63.52,408268.0,0.0,0
2018-04-12,63.63,63.71,62.75,62.87,347049.0,0.0,0
2018-04-13,62.95,63.33,62.69,62.98,391362.0,0.0,0
2018-04-16,62.77,63.59,62.68,63.53,529943.0,0.0,0
2018-04-17,63.9,64.21,63.28,63.65,657665.0,0.0,0
2018-04-18,63.62,64.31,62.87,62.91,380516.0,0.0,0
2018-04-19,62.92,64.17,62.38,64.04,722760.0,0.0,0
2018-04-20,64.02,64.31,63.47,64.29,850166.0,0.0,0
2018-04-23,67.52,68.97,67.38,68.96,6594892.0,0.0,0
2018-04-24,68.7,68.99,68.52,68.63,3528963.0,0.0,0
2018-04-25,68.5,68.83,68.5,68.68,3043324.0,0.0,0
2018-04-26,68.66,68.97,68.62,68.65,1756867.0,0.0,0
2018-04-27,68.82,69.37,68.6,69.08,1569384.0,0.0,0
2018-04-30,69.04,69.34,68.89,68.92,1803316.0,0.0,0
2018-05-01,68.95,69.32,68.86,68.86,1437358.0,0.0,0
2018-05-02,69.04,69.14,68.85,68.87,1624974.0,0.0,0
2018-05-03,68.87,69.21,68.68,69.16,1417416.0,0.0,0
2018-05-04,69.12,69.17,68.95,68.95,1150025.0,0.0,0
2018-05-07,68.98,69.4,68.95,69.07,953815.0,0.0,0
2018-05-08,69.04,69.14,68.73,68.77,1704187.0,0.0,0
2018-05-09,68.85,68.98,68.8,68.84,1354856.0,0.0,0
2018-05-10,68.92,69.2,68.73,68.79,1567961.0,0.0,0
2018-05-11,68.85,69.11,68.85,68.92,710408.0,0.0,0
2018-05-14,69.08,69.16,68.51,68.96,1256664.0,0.45,0
2018-05-15,68.85,69.08,68.53,68.62,1614544.0,0.0,0
2018-05-16,68.62,68.82,68.53,68.6,993992.0,0.0,0
2018-05-17,68.61,68.75,68.53,68.59,729759.0,0.0,0
2018-05-18,68.67,68.67,68.24,68.36,1586693.0,0.0,0
2018-05-21,68.45,68.53,67.94,68.14,878318.0,0.0,0
2018-05-22,68.16,68.67,68.14,68.65,825492.0,0.0,0
2018-05-23,68.64,68.88,68.52,68.79,788351.0,0.0,0
2018-05-24,68.75,68.95,68.7,68.95,500664.0,0.0,0
2018-05-25,68.9,69.06,68.84,68.88,426393.0,0.0,0
2018-05-29,68.86,69.37,68.81,69.34,1121497.0,0.0,0
2018-05-30,69.29,69.83,69.05,69.76,1524149.0,0.0,0
2018-05-31,69.77,69.89,69.48,69.75,1455500.0,0.0,0
2018-06-01,69.78,69.82,69.42,69.42,780023.0,0.0,0
2018-06-04,69.67,69.98,69.59,69.73,1247612.0,0.0,0
2018-06-05,69.66,69.87,69.53,69.58,916775.0,0.0,0
2018-06-06,69.67,69.73,69.47,69.48,1511185.0,0.0,0
2018-06-07,69.54,69.71,69.45,69.55,1080378.0,0.0,0
2018-06-08,69.59,69.74,69.5,69.59,1203654.0,0.0,0
2018-06-11,69.64,69.75,69.54,69.54,501931.0,0.0,0
2018-06-12,69.59,69.73,69.55,69.61,466880.0,0.0,0
2018-06-13,69.62,69.88,69.6,69.84,582822.0,0.0,0
2018-06-14,69.83,69.93,69.83,69.86,550509.0,0.0,0
2018-06-15,69.83,70.24,69.75,70.23,1299528.0,0.0,0
2018-06-18,70.12,70.46,70.03,70.46,438737.0,0.0,0
2018-06-19,70.38,70.48,70.24,70.43,532431.0,0.0,0
2018-06-20,70.43,70.57,70.29,70.54,554975.0,0.0,0
2018-06-21,70.53,70.58,70.31,70.44,347713.0,0.0,0
2018-06-22,70.51,70.61,70.28,70.52,1215778.0,0.0,0
2018-06-25,70.48,70.55,70.38,70.55,890000.0,0.0,0
2018-06-26,70.53,70.53,70.33,70.38,686021.0,0.0,0
2018-06-27,70.38,70.62,70.38,70.54,422097.0,0.0,0
2018-06-28,70.53,70.6,70.38,70.47,436147.0,0.0,0
2018-06-29,70.47,70.57,70.34,70.53,630747.0,0.0,0
2018-07-02,70.45,70.57,70.39,70.57,510957.0,0.0,0
2018-07-03,70.56,70.61,70.47,70.49,409617.0,0.0,0
2018-07-05,70.62,70.62,70.48,70.57,600153.0,0.0,0
2018-07-06,70.53,70.62,70.48,70.49,387982.0,0.0,0
2018-07-09,70.51,70.56,70.39,70.46,757971.0,0.0,0
2018-07-10,70.48,70.78,70.48,70.52,674775.0,0.0,0
2018-07-11,70.64,70.67,70.5,70.56,297439.0,0.0,0
2018-07-12,70.57,70.62,70.46,70.5,331094.0,0.0,0
2018-07-13,70.5,70.62,70.33,70.39,379466.0,0.0,0
2018-07-16,70.43,70.43,70.34,70.38,292380.0,0.0,0
2018-07-17,70.43,70.55,70.37,70.37,185653.0,0.0,0
2018-07-18,70.38,70.57,70.3,70.52,299265.0,0.0,0
2018-07-19,70.52,70.65,70.47,70.47,325557.0,0.0,0
2018-07-20,70.48,70.55,70.34,70.5,209134.0,0.0,0
2018-07-23,70.48,70.48,70.25,70.26,285684.0,0.0,0
2018-07-24,70.3,70.39,70.23,70.28,983340.0,0.0,0
2018-07-25,70.28,70.43,70.2,70.33,589778.0,0.0,0
2018-07-26,70.36,70.57,70.33,70.53,537201.0,0.0,0
2018-07-27,70.44,70.54,70.37,70.52,278354.0,0.0,0
2018-07-30,70.46,70.53,70.33,70.46,429996.0,0.0,0
2018-07-31,70.48,70.61,70.47,70.54,745941.0,0.0,0
2018-08-01,70.54,70.54,70.34,70.4,569307.0,0.0,0
2018-08-02,70.16,70.5,70.16,70.36,395657.0,0.0,0
2018-08-03,70.37,70.59,70.32,70.59,271618.0,0.0,0
2018-08-06,70.53,70.73,70.29,70.35,353490.0,0.0,0
2018-08-07,70.41,70.81,70.38,70.64,748200.0,0.0,0
2018-08-08,70.57,70.61,70.38,70.57,320503.0,0.0,0
2018-08-09,70.57,70.66,70.49,70.52,143561.0,0.0,0
2018-08-10,70.53,70.64,70.42,70.45,238371.0,0.0,0
2018-08-13,70.48,70.6,70.43,70.47,273657.0,0.0,0
2018-08-14,70.43,70.69,70.43,70.69,322619.0,0.45,0
2018-08-15,70.67,70.68,70.46,70.61,360703.0,0.0,0
2018-08-16,70.67,71.2,70.54,71.1,386622.0,0.0,0
2018-08-17,70.94,71.09,70.64,71.02,369198.0,0.0,0
2018-08-20,71.07,71.12,70.84,70.92,371772.0,0.0,0
2018-08-21,70.87,70.97,70.7,70.97,425799.0,0.0,0
2018-08-22,70.87,70.96,70.79,70.82,314271.0,0.0,0
2018-08-23,70.87,70.92,70.72,70.73,165072.0,0.0,0
2018-08-24,70.77,71.02,70.74,71.02,158862.0,0.0,0
2018-08-27,71.0,71.0,70.66,70.74,385293.0,0.0,0
2018-08-28,70.77,70.81,70.71,70.74,635817.0,0.0,0
2018-08-29,70.88,71.16,70.77,70.96,263670.0,0.0,0
2018-08-30,70.91,70.99,70.77,70.78,243219.0,0.0,0
2018-08-31,70.8,70.85,70.72,70.72,676490.0,0.0,0
2018-09-04,70.86,71.02,70.74,70.81,483437.0,0.0,0
2018-09-05,70.87,71.02,70.84,70.98,362959.0,0.0,0
2018-09-06,70.96,71.13,70.85,71.13,279045.0,0.0,0
2018-09-07,70.99,71.12,70.97,71.12,245222.0,0.0,0
2018-09-10,71.12,71.17,70.77,70.79,258262.0,0.0,0
2018-09-11,70.77,70.97,70.77,70.83,263776.0,0.0,0
2018-09-12,70.81,70.84,70.77,70.79,402264.0,0.0,0
2018-09-13,70.84,70.94,70.77,70.84,298079.0,0.0,0
2018-09-14,70.78,70.99,70.77,70.77,291316.0,0.0,0
2018-09-17,70.82,71.06,70.77,70.82,241228.0,0.0,0
2018-09-18,70.84,70.92,70.8,70.82,264336.0,0.0,0
2018-09-19,70.85,70.87,70.82,70.85,481439.0,0.0,0
2018-09-20,70.84,71.01,70.82,70.92,469943.0,0.0,0
2018-09-21,70.87,71.14,70.87,71.07,519252.0,0.0,0
2018-09-24,70.97,71.1,70.87,71.03,213766.0,0.0,0
2018-09-25,71.02,71.07,70.81,70.81,256742.0,0.0,0
2018-09-26,70.92,70.94,70.8,70.82,375972.0,0.0,0
2018-09-27,70.85,71.09,70.84,70.93,463601.0,0.0,0
2018-09-28,70.98,71.17,70.93,71.01,747280.0,0.0,0
2018-10-01,71.02,71.16,70.88,71.1,294306.0,0.0,0
2018-10-02,71.07,71.15,70.95,70.96,267201.0,0.0,0
2018-10-03,71.08,71.11,70.92,71.0,588978.0,0.0,0
2018-10-04,70.94,71.02,70.83,70.84,244048.0,0.0,0
2018-10-05,70.87,71.15,70.84,71.07,311589.0,0.0,0
2018-10-08,71.04,71.17,71.03,71.17,423057.0,0.0,0
2018-10-09,71.15,71.2,71.05,71.14,288006.0,0.0,0
2018-10-10,71.14,71.16,71.03,71.03,531917.0,0.0,0
2018-10-11,71.05,71.16,70.84,70.84,865626.0,0.0,0
2018-10-12,70.93,71.17,70.84,70.98,654379.0,0.0,0
2018-10-15,70.94,71.18,70.93,71.07,583432.0,0.0,0
2018-10-16,71.06,71.26,70.98,71.16,406451.0,0.0,0
2018-10-17,71.14,71.21,71.07,71.12,380817.0,0.0,0
2018-10-18,71.08,71.2,71.04,71.1,563648.0,0.0,0
2018-10-19,71.12,71.26,71.08,71.1,476331.0,0.0,0
2018-10-22,71.12,71.16,71.03,71.05,597988.0,0.0,0
2018-10-23,71.06,71.15,70.97,71.06,650415.0,0.0,0
2018-10-24,71.1,71.18,70.99,70.99,988204.0,0.0,0
2018-10-25,71.07,71.14,70.98,71.13,868481.0,0.0,0
2018-10-26,71.07,71.24,71.03,71.11,898526.0,0.0,0
2018-10-29,71.12,71.21,71.07,71.1,838092.0,0.0,0
