Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.5,12.62,12.41,12.59,1695100,0.0,0.0
2008-01-03,12.61,12.68,12.54,12.63,1342900,0.0,0.0
2008-01-04,12.49,12.58,12.26,12.4,2089800,0.0,0.0
2008-01-07,12.44,12.47,12.24,12.33,1620000,0.0,0.0
2008-01-08,12.36,12.41,11.94,11.96,2244100,0.0,0.0
2008-01-09,11.96,12.13,11.94,12.09,2499000,0.0,0.0
2008-01-10,12.16,12.76,12.05,12.63,2224800,0.0,0.0
2008-01-11,12.56,12.6,12.39,12.52,2310300,0.0,0.0
2008-01-14,12.63,12.63,12.12,12.29,1219600,0.0,0.0
2008-01-15,12.11,12.27,12.05,12.25,901300,0.0,0.0
2008-01-16,12.24,12.46,12.05,12.31,1458100,0.0,0.0
2008-01-17,12.34,12.52,12.1,12.13,1087600,0.0,0.0
2008-01-18,12.2,12.39,12.07,12.09,1785300,0.0,0.0
2008-01-22,12.03,12.18,11.85,11.88,1745700,0.0,0.0
2008-01-23,11.73,11.96,11.39,11.96,3687700,0.0,0.0
2008-01-24,11.98,12.04,11.73,11.8,1769500,0.0,0.0
2008-01-25,11.92,11.95,11.7,11.9,2180700,0.0,0.0
2008-01-28,11.93,11.98,11.67,11.89,1063900,0.0,0.0
2008-01-29,11.93,12.01,11.78,11.9,992200,0.0,0.0
2008-01-30,11.83,11.96,11.64,11.66,1451800,0.0,0.0
2008-01-31,11.49,11.89,11.44,11.84,1764000,0.0,0.0
2008-02-01,11.84,12.04,11.75,12.03,1357200,0.0,0.0
2008-02-04,11.94,12.06,11.86,12.01,748000,0.0,0.0
2008-02-05,11.79,12.04,11.7,11.72,940900,0.0,0.0
2008-02-06,11.79,11.85,11.63,11.68,993700,0.0,0.0
2008-02-07,11.63,11.79,11.55,11.73,806800,0.0,0.0
2008-02-08,11.73,11.95,11.71,11.91,1048000,0.0,0.0
2008-02-11,11.86,11.96,11.77,11.88,833500,0.0,0.0
2008-02-12,12.3,12.3,11.74,11.98,1611100,0.0,0.0
2008-02-13,12.06,12.44,12.02,12.35,1592700,0.0,0.0
2008-02-14,12.36,12.42,12.29,12.35,1187200,0.0,0.0
2008-02-15,12.31,12.42,12.23,12.38,1154700,0.0,0.0
2008-02-19,12.5,12.5,12.32,12.38,919300,0.0,0.0
2008-02-20,12.28,12.55,12.24,12.5,758700,0.0,0.0
2008-02-21,12.57,12.57,12.31,12.37,1354500,0.0,0.0
2008-02-22,12.36,12.46,12.25,12.44,1089900,0.0,0.0
2008-02-25,12.46,12.48,12.32,12.42,1656900,0.0,0.0
2008-02-26,12.37,12.6,12.34,12.56,1779000,0.0,0.0
2008-02-27,12.46,12.59,12.46,12.53,1130400,0.0,0.0
2008-02-28,12.46,12.64,12.37,12.52,791700,0.0,0.0
2008-02-29,12.4,12.44,12.25,12.33,1095300,0.0,0.0
2008-03-03,12.31,12.35,12.09,12.21,1114600,0.0,0.0
2008-03-04,12.14,12.39,12.14,12.3,871300,0.0,0.0
2008-03-05,12.42,12.58,12.31,12.48,770400,0.0,0.0
2008-03-06,12.42,12.44,12.06,12.11,1015800,0.0,0.0
2008-03-07,12.06,12.3,12.0,12.17,1076400,0.0,0.0
2008-03-10,12.23,12.23,12.04,12.07,1370800,0.0,0.0
2008-03-11,12.39,12.39,11.98,12.21,1884100,0.0,0.0
2008-03-12,12.25,12.38,12.12,12.15,807000,0.0,0.0
2008-03-13,11.99,12.2,11.91,12.16,1084200,0.0,0.0
2008-03-14,12.24,12.24,11.81,12.02,1119300,0.0,0.0
2008-03-17,11.71,12.26,11.7,12.05,1090500,0.0,0.0
2008-03-18,12.24,12.6,12.2,12.59,1408200,0.0,0.0
2008-03-19,12.63,12.87,12.39,12.39,1431000,0.0,0.0
2008-03-20,12.67,12.87,12.35,12.8,3424900,0.0,0.0
2008-03-24,12.82,12.9,12.66,12.68,1104900,0.0,0.0
2008-03-25,12.65,12.83,12.61,12.73,709800,0.0,0.0
2008-03-26,12.65,12.79,12.62,12.73,701200,0.0,0.0
2008-03-27,12.79,12.79,12.38,12.47,1280200,0.0,0.0
2008-03-28,12.47,12.47,12.16,12.2,1319400,0.0,0.0
2008-03-31,12.23,12.59,12.12,12.48,1696900,0.0,0.0
2008-04-01,12.4,12.69,12.37,12.68,754800,0.0,0.0
2008-04-02,12.73,12.79,12.66,12.69,640000,0.0,0.0
2008-04-03,12.61,12.71,12.52,12.67,717900,0.0,0.0
2008-04-04,12.63,12.68,12.48,12.66,684600,0.0,0.0
2008-04-07,12.69,12.7,12.48,12.6,615600,0.0,0.0
2008-04-08,12.5,12.79,12.5,12.7,747100,0.0,0.0
2008-04-09,12.74,12.74,12.48,12.61,691200,0.0,0.0
2008-04-10,12.63,12.67,12.38,12.46,1282200,0.0,0.0
2008-04-11,12.33,12.37,12.19,12.22,1293900,0.0,0.0
2008-04-14,12.18,12.39,12.18,12.3,600400,0.0,0.0
2008-04-15,12.38,12.42,12.24,12.31,698500,0.0,0.0
2008-04-16,12.41,12.59,12.36,12.58,725800,0.0,0.0
2008-04-17,12.5,12.61,12.46,12.59,683700,0.0,0.0
2008-04-18,12.73,12.9,12.63,12.81,765600,0.0,0.0
2008-04-21,12.72,12.78,12.56,12.63,903300,0.0,0.0
2008-04-22,13.12,13.12,12.56,12.69,1359600,0.0,0.0
2008-04-23,12.74,12.75,12.5,12.64,1252000,0.0,0.0
2008-04-24,12.67,12.89,12.56,12.85,886900,0.0,0.0
2008-04-25,12.92,13.09,12.78,13.05,604900,0.0,0.0
2008-04-28,12.98,13.06,12.9,13.04,709200,0.0,0.0
2008-04-29,13.06,13.28,13.03,13.1,940000,0.0,0.0
2008-04-30,13.16,13.34,12.93,13.02,601300,0.0,0.0
2008-05-01,13.04,13.52,12.96,13.45,826200,0.0,0.0
2008-05-02,13.53,13.53,13.09,13.11,689500,0.0,0.0
2008-05-05,13.12,13.14,12.77,12.92,1512900,0.0,0.0
2008-05-06,12.82,12.91,12.69,12.77,1639300,0.0,0.0
2008-05-07,12.81,12.85,12.42,12.44,1827900,0.0,0.0
2008-05-08,12.47,12.56,12.37,12.48,846600,0.0,0.0
2008-05-09,12.35,12.53,12.3,12.38,574300,0.0,0.0
2008-05-12,12.45,12.71,12.41,12.7,567900,0.0,0.0
2008-05-13,12.7,12.76,12.6,12.76,419100,0.0,0.0
2008-05-14,12.75,12.78,12.6,12.65,577500,0.0,0.0
2008-05-15,12.61,12.75,12.59,12.68,583800,0.0,0.0
2008-05-16,12.74,12.89,12.65,12.85,853200,0.0,0.0
2008-05-19,12.83,12.87,12.69,12.79,652600,0.0,0.0
2008-05-20,12.72,12.98,12.72,12.89,790600,0.0,0.0
2008-05-21,12.83,13.06,12.56,12.61,887800,0.0,0.0
2008-05-22,12.63,12.89,12.57,12.81,692200,0.0,0.0
2008-05-23,12.74,12.84,12.68,12.78,542400,0.0,0.0
2008-05-27,12.81,13.04,12.75,12.93,461700,0.0,0.0
2008-05-28,13.0,13.07,12.92,13.04,534100,0.0,0.0
2008-05-29,12.98,13.35,12.96,13.22,602200,0.0,0.0
2008-05-30,13.2,13.36,13.19,13.33,912600,0.0,0.0
2008-06-02,13.24,13.32,12.93,13.08,1219000,0.0,0.0
2008-06-03,13.15,13.15,12.95,12.99,756000,0.0,0.0
2008-06-04,12.93,13.2,12.93,13.12,612400,0.0,0.0
2008-06-05,13.13,13.51,13.06,13.51,734100,0.0,0.0
2008-06-06,13.47,13.53,13.36,13.36,1094500,0.0,0.0
2008-06-09,13.4,13.58,13.3,13.56,1171500,0.0,0.0
2008-06-10,13.41,13.6,13.37,13.37,1175500,0.0,0.0
2008-06-11,13.33,13.43,12.87,12.89,1079200,0.0,0.0
2008-06-12,12.93,13.19,12.93,12.98,960900,0.0,0.0
2008-06-13,13.1,13.29,13.01,13.27,1355400,0.0,0.0
2008-06-16,13.41,14.18,13.41,13.53,3415600,0.0,0.0
2008-06-17,13.56,13.82,13.46,13.75,1081000,0.0,0.0
2008-06-18,13.67,13.78,13.48,13.54,1158000,0.0,0.0
2008-06-19,13.63,13.92,13.48,13.92,818200,0.0,0.0
2008-06-20,13.78,13.9,13.43,13.59,1856800,0.0,0.0
2008-06-23,13.73,13.73,13.38,13.58,1107100,0.0,0.0
2008-06-24,13.46,13.63,13.4,13.4,1006300,0.0,0.0
2008-06-25,13.46,13.8,13.43,13.71,1694800,0.0,0.0
2008-06-26,13.52,13.62,13.22,13.29,1167400,0.0,0.0
2008-06-27,13.28,13.39,13.04,13.13,2504400,0.0,0.0
2008-06-30,13.15,13.15,12.96,12.96,1210000,0.0,0.0
2008-07-01,12.91,12.91,12.65,12.9,990600,0.0,0.0
2008-07-02,12.89,12.92,12.58,12.62,770100,0.0,0.0
2008-07-03,12.65,12.81,12.52,12.63,427900,0.0,0.0
2008-07-07,12.73,12.73,12.31,12.5,1215600,0.0,0.0
2008-07-08,12.46,12.98,12.42,12.96,1371100,0.0,0.0
2008-07-09,12.99,13.04,12.73,12.79,694300,0.0,0.0
2008-07-10,12.88,13.19,12.84,13.05,1189900,0.0,0.0
2008-07-11,12.88,13.28,12.87,13.2,833500,0.0,0.0
2008-07-14,13.32,13.67,13.13,13.6,1731300,0.0,0.0
2008-07-15,13.5,13.69,13.31,13.44,1076400,0.0,0.0
2008-07-16,13.44,13.99,13.31,13.95,1163400,0.0,0.0
2008-07-17,13.95,13.98,13.76,13.94,1920300,0.0,0.0
2008-07-18,13.96,14.0,12.96,13.75,1139400,0.0,0.0
2008-07-21,13.8,13.8,13.58,13.75,862600,0.0,0.0
2008-07-22,13.73,14.02,13.63,13.85,1489500,0.0,0.0
2008-07-23,13.59,13.72,13.05,13.72,2750400,0.0,0.0
2008-07-24,13.37,13.74,13.37,13.65,1348300,0.0,0.0
2008-07-25,13.79,14.11,13.69,13.99,1518900,0.0,0.0
2008-07-28,13.97,13.99,13.73,13.94,1136200,0.0,0.0
2008-07-29,13.97,14.14,13.92,14.12,1019700,0.0,0.0
2008-07-30,14.16,14.51,14.12,14.42,1313200,0.0,0.0
2008-07-31,14.21,14.89,14.21,14.77,2552100,0.0,0.0
2008-08-01,14.72,14.76,14.12,14.22,1319400,0.0,0.0
2008-08-04,14.21,14.37,14.04,14.26,1253200,0.0,0.0
2008-08-05,14.31,14.49,14.23,14.44,926700,0.0,0.0
2008-08-06,14.46,15.07,14.38,15.02,2133000,0.0,0.0
2008-08-07,14.91,15.03,14.73,14.8,904200,0.0,0.0
2008-08-08,14.96,15.14,14.84,15.03,945100,0.0,0.0
2008-08-11,15.0,15.49,15.0,15.48,1269900,0.0,0.0
2008-08-12,15.43,15.44,15.02,15.21,1346100,0.0,0.0
2008-08-13,14.75,14.95,14.28,14.73,1597900,0.0,0.0
2008-08-14,14.74,14.76,14.6,14.75,1155100,0.0,0.0
2008-08-15,14.85,15.08,14.58,14.81,1045000,0.0,0.0
2008-08-18,14.9,14.94,14.43,14.56,1042200,0.0,0.0
2008-08-19,14.53,14.56,14.3,14.38,1329000,0.0,0.0
2008-08-20,14.44,14.66,14.39,14.6,971100,0.0,0.0
2008-08-21,14.48,14.63,14.36,14.47,698500,0.0,0.0
2008-08-22,14.65,14.75,14.5,14.71,804300,0.0,0.0
2008-08-25,14.56,14.62,14.35,14.47,679900,0.0,0.0
2008-08-26,14.44,14.57,14.33,14.49,526000,0.0,0.0
2008-08-27,14.47,14.7,14.45,14.57,996400,0.0,0.0
2008-08-28,14.63,14.75,14.5,14.62,1099500,0.0,0.0
2008-08-29,14.62,14.77,14.58,14.74,619800,0.0,0.0
2008-09-02,14.91,15.27,14.59,14.75,1129600,0.0,0.0
2008-09-03,14.7,14.95,14.6,14.82,1783900,0.0,0.0
2008-09-04,14.69,14.69,13.92,14.06,2672500,0.0,0.0
2008-09-05,13.99,14.01,13.68,13.91,1552900,0.0,0.0
2008-09-08,14.23,14.52,14.13,14.47,1363600,0.0,0.0
2008-09-09,14.54,14.81,14.27,14.27,1430100,0.0,0.0
2008-09-10,14.36,14.62,14.26,14.45,1237500,0.0,0.0
2008-09-11,14.43,14.59,14.12,14.58,1782400,0.0,0.0
2008-09-12,14.58,14.71,14.41,14.68,903600,0.0,0.0
2008-09-15,14.33,14.77,14.21,14.51,1494000,0.0,0.0
2008-09-16,14.3,15.02,13.97,15.02,2112900,0.0,0.0
2008-09-17,14.78,14.81,14.27,14.53,1896300,0.0,0.0
2008-09-18,14.7,15.58,14.7,15.22,2727000,0.0,0.0
2008-09-19,15.6,16.54,15.54,15.67,3543900,0.0,0.0
2008-09-22,15.51,15.58,15.03,15.04,1142500,0.0,0.0
2008-09-23,14.31,14.31,13.42,13.86,4932000,0.0,0.0
2008-09-24,13.85,13.85,13.19,13.55,4540900,0.0,0.0
2008-09-25,13.88,14.02,13.43,13.94,11759400,0.0,0.0
2008-09-26,13.67,14.3,13.5,14.27,2562900,0.0,0.0
2008-09-29,14.2,14.2,13.13,13.5,2699500,0.0,0.0
2008-09-30,13.59,14.0,13.25,13.93,2461000,0.0,0.0
2008-10-01,13.65,13.87,13.53,13.82,1414900,0.0,0.0
2008-10-02,13.79,13.8,13.41,13.52,1376100,0.0,0.0
2008-10-03,13.79,14.21,13.7,14.14,2813800,0.0,0.0
2008-10-06,13.85,14.0,13.24,13.84,2884900,0.0,0.0
2008-10-07,14.09,14.09,13.43,13.47,2954800,0.0,0.0
2008-10-08,13.12,13.63,12.72,12.72,4124400,0.0,0.0
2008-10-09,12.86,13.19,11.91,11.92,2862400,0.0,0.0
2008-10-10,11.4,13.54,11.32,12.4,4450500,0.0,0.0
2008-10-13,12.45,13.4,12.45,13.31,3740500,0.0,0.0
2008-10-14,13.71,13.74,12.87,13.08,2565600,0.0,0.0
2008-10-15,12.87,13.01,12.37,12.37,1870300,0.0,0.0
2008-10-16,12.43,13.22,12.09,13.0,3212100,0.0,0.0
2008-10-17,12.56,13.76,12.56,13.19,2363100,0.0,0.0
2008-10-20,13.3,13.76,13.17,13.76,1738900,0.0,0.0
2008-10-21,13.39,13.67,13.15,13.3,2205900,0.0,0.0
2008-10-22,13.28,13.28,12.59,13.21,2167800,0.0,0.0
2008-10-23,13.34,13.55,12.59,13.39,2188300,0.0,0.0
2008-10-24,13.03,13.15,12.38,12.71,1737600,0.0,0.0
2008-10-27,12.57,12.87,12.1,12.12,1712400,0.0,0.0
2008-10-28,12.33,12.42,11.6,12.16,3384100,0.0,0.0
2008-10-29,12.14,13.02,11.84,12.52,2482300,0.0,0.0
2008-10-30,12.86,13.17,12.65,13.04,1543900,0.0,0.0
2008-10-31,12.99,13.74,12.93,13.74,5676300,0.0,0.0
2008-11-03,13.74,14.15,13.69,14.09,1713100,0.0,0.0
2008-11-04,14.15,14.4,13.95,14.24,1253200,0.0,0.0
2008-11-05,14.09,14.23,13.73,13.76,1144300,0.0,0.0
2008-11-06,13.62,13.98,13.5,13.59,1225300,0.0,0.0
2008-11-07,13.74,13.98,13.54,13.93,955000,0.0,0.0
2008-11-10,14.22,14.65,13.85,14.06,977800,0.0,0.0
2008-11-11,13.94,14.3,13.66,14.09,1050900,0.0,0.0
2008-11-12,13.86,13.97,13.36,13.42,1312600,0.0,0.0
2008-11-13,13.35,14.58,12.83,14.54,2300800,0.0,0.0
2008-11-14,14.3,14.88,14.03,14.16,1469200,0.0,0.0
2008-11-17,14.06,14.38,13.81,13.97,1740600,0.0,0.0
2008-11-18,13.98,14.23,13.6,14.06,2371500,0.0,0.0
2008-11-19,14.02,14.28,13.3,13.33,1839300,0.0,0.0
2008-11-20,13.25,13.78,12.78,12.87,2688300,0.0,0.0
2008-11-21,13.0,13.73,12.81,13.69,3242800,0.0,0.0
2008-11-24,13.94,13.96,12.55,12.85,4200900,0.0,0.0
2008-11-25,12.86,12.92,11.19,11.79,8142000,0.0,0.0
2008-11-26,11.87,12.01,11.25,11.92,4451100,0.0,0.0
2008-11-28,11.84,12.01,10.94,11.46,2021400,0.0,0.0
2008-12-01,11.26,11.48,10.78,10.84,21056400,0.0,0.0
2008-12-02,10.99,11.27,10.87,11.2,3911400,0.0,0.0
2008-12-03,11.0,11.73,10.9,11.55,4062600,0.0,0.0
2008-12-04,11.41,11.87,11.09,11.36,2380500,0.0,0.0
2008-12-05,11.17,11.92,10.92,11.88,2040300,0.0,0.0
2008-12-08,12.03,12.32,11.91,12.12,1830600,0.0,0.0
2008-12-09,11.96,12.48,11.73,11.87,1470700,0.0,0.0
2008-12-10,12.0,12.21,11.89,12.06,1247800,0.0,0.0
2008-12-11,11.99,12.18,11.44,11.59,1772500,0.0,0.0
2008-12-12,11.37,11.98,11.23,11.94,1418400,0.0,0.0
2008-12-15,11.99,12.1,11.37,11.58,1708800,0.0,0.0
2008-12-16,11.74,12.18,11.62,12.18,1641600,0.0,0.0
2008-12-17,12.0,12.18,11.68,11.85,2267200,0.0,0.0
2008-12-18,11.86,12.01,11.66,11.92,2869200,0.0,0.0
2008-12-19,12.06,12.35,12.02,12.16,3653500,0.0,0.0
2008-12-22,12.03,12.16,11.58,11.9,1521100,0.0,0.0
2008-12-23,12.0,12.2,11.83,11.96,1545700,0.0,0.0
2008-12-24,11.92,11.92,11.63,11.7,570100,0.0,0.0
2008-12-26,11.76,11.88,11.6,11.78,730900,0.0,0.0
2008-12-29,11.81,11.84,11.43,11.6,1433200,0.0,0.0
2008-12-30,11.69,12.22,11.67,12.21,1662400,0.0,0.0
2008-12-31,12.28,12.9,12.28,12.82,2038600,0.0,0.0
2009-01-02,12.8,12.86,12.5,12.59,1441000,0.0,0.0
2009-01-05,12.53,12.9,12.48,12.61,1341400,0.0,0.0
2009-01-06,12.63,12.85,12.36,12.44,1416700,0.0,0.0
2009-01-07,12.25,12.35,12.0,12.22,1230400,0.0,0.0
2009-01-08,12.18,12.63,12.18,12.58,1232500,0.0,0.0
2009-01-09,12.6,12.72,12.16,12.22,1136200,0.0,0.0
2009-01-12,12.23,12.23,11.87,11.99,1445400,0.0,0.0
2009-01-13,11.99,12.09,11.66,11.74,1569100,0.0,0.0
2009-01-14,11.61,11.74,10.75,10.84,3343200,0.0,0.0
2009-01-15,10.68,11.24,10.54,11.17,1561500,0.0,0.0
2009-01-16,11.3,11.45,10.84,11.41,2433600,0.0,0.0
2009-01-20,11.4,11.44,10.84,10.96,2034100,0.0,0.0
2009-01-21,11.1,11.36,10.87,11.32,1542300,0.0,0.0
2009-01-22,11.08,11.66,11.07,11.51,3774100,0.0,0.0
2009-01-23,11.2,11.52,11.16,11.27,3692200,0.0,0.0
2009-01-26,11.29,11.81,11.25,11.67,3231000,0.0,0.0
2009-01-27,11.69,12.12,11.67,11.81,3402100,0.0,0.0
2009-01-28,11.93,12.39,11.9,12.22,3992100,0.0,0.0
2009-01-29,12.07,12.25,11.86,11.96,1266700,0.0,0.0
2009-01-30,12.03,12.17,11.71,11.78,2095300,0.0,0.0
2009-02-02,11.55,11.71,11.1,11.41,3835300,0.0,0.0
2009-02-03,11.34,11.48,11.08,11.42,2389600,0.0,0.0
2009-02-04,11.42,11.7,11.26,11.38,1796800,0.0,0.0
2009-02-05,11.33,11.48,11.1,11.3,2027200,0.0,0.0
2009-02-06,11.29,11.41,11.1,11.22,2324800,0.0,0.0
2009-02-09,11.18,11.21,10.6,10.92,3356500,0.0,0.0
2009-02-10,10.85,11.66,10.85,11.01,5929200,0.0,0.0
2009-02-11,11.16,11.42,10.64,10.68,2738700,0.0,0.0
2009-02-12,10.56,10.76,10.26,10.68,3512700,0.0,0.0
2009-02-13,10.72,10.86,10.61,10.77,1967400,0.0,0.0
2009-02-17,10.36,10.78,10.3,10.6,2059200,0.0,0.0
2009-02-18,10.63,10.66,10.3,10.34,1959300,0.0,0.0
2009-02-19,10.31,10.55,10.3,10.32,2050200,0.0,0.0
2009-02-20,10.25,10.46,10.06,10.33,2363400,0.0,0.0
2009-02-23,10.37,10.4,10.08,10.1,2080800,0.0,0.0
2009-02-24,10.21,10.26,9.94,10.18,1759000,0.0,0.0
2009-02-25,10.11,10.2,9.77,9.91,1473700,0.0,0.0
2009-02-26,9.99,10.08,9.63,9.67,1552000,0.0,0.0
2009-02-27,9.57,9.88,9.43,9.68,2365300,0.0,0.0
2009-03-02,9.52,9.66,9.31,9.52,2188000,0.0,0.0
2009-03-03,9.51,9.61,9.01,9.02,2519200,0.0,0.0
2009-03-04,9.11,9.24,8.86,8.94,2119500,0.0,0.0
2009-03-05,8.77,8.94,8.55,8.75,2225400,0.0,0.0
2009-03-06,8.83,9.09,8.68,8.88,2576700,0.0,0.0
2009-03-09,8.82,8.94,8.43,8.49,2085000,0.0,0.0
2009-03-10,8.62,8.73,8.33,8.72,2740500,0.0,0.0
2009-03-11,8.73,8.92,8.57,8.72,1630000,0.0,0.0
2009-03-12,8.73,9.24,8.65,9.19,1949500,0.0,0.0
2009-03-13,9.22,9.24,9.04,9.19,1501800,0.0,0.0
2009-03-16,9.3,9.35,9.09,9.12,1642900,0.0,0.0
2009-03-17,9.14,9.45,9.06,9.45,1019400,0.0,0.0
2009-03-18,9.44,9.77,9.25,9.62,1277500,0.0,0.0
2009-03-19,9.67,9.75,9.48,9.72,1767100,0.0,0.0
2009-03-20,9.76,10.02,9.65,9.65,2266200,0.0,0.0
2009-03-23,9.74,10.25,9.63,10.25,2062800,0.0,0.0
2009-03-24,10.17,10.3,9.93,9.95,1801300,0.0,0.0
2009-03-25,10.05,10.32,9.76,10.04,1585300,0.0,0.0
2009-03-26,10.17,10.58,10.02,10.58,2555500,0.0,0.0
2009-03-27,10.45,10.54,10.25,10.28,994600,0.0,0.0
2009-03-30,10.09,10.11,9.91,10.08,1090300,0.0,0.0
2009-03-31,10.17,10.58,10.1,10.43,1893700,0.0,0.0
2009-04-01,10.3,10.4,9.94,10.37,1633200,0.0,0.0
2009-04-02,10.57,11.08,10.47,10.88,1682700,0.0,0.0
2009-04-03,10.91,11.21,10.84,11.21,1679800,0.0,0.0
2009-04-06,11.1,11.28,11.04,11.15,1801800,0.0,0.0
2009-04-07,11.04,11.17,10.88,10.98,1159300,0.0,0.0
2009-04-08,11.04,11.16,10.9,10.95,1407600,0.0,0.0
2009-04-09,11.1,11.1,10.93,10.99,2073100,0.0,0.0
2009-04-13,10.91,10.96,10.66,10.92,1370200,0.0,0.0
2009-04-14,10.81,10.88,10.66,10.83,1849600,0.0,0.0
