Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.7,19.83,18.97,19.06,1269700,0.17,0
2008-01-03,19.18,19.62,19.14,19.2,1045700,0.0,0
2008-01-04,18.98,19.25,18.27,18.37,1178200,0.0,0
2008-01-07,18.34,18.51,17.82,17.98,1624400,0.0,0
2008-01-08,18.0,18.43,17.29,17.3,1362600,0.0,0
2008-01-09,17.25,17.83,16.79,17.75,1648100,0.0,0
2008-01-10,17.42,18.58,17.2,18.2,1718700,0.0,0
2008-01-11,18.06,18.31,17.64,17.85,903400,0.0,0
2008-01-14,17.98,18.08,17.74,17.98,775500,0.0,0
2008-01-15,17.64,18.03,17.4,17.53,1678400,0.0,0
2008-01-16,17.51,18.19,17.28,17.85,1671200,0.0,0
2008-01-17,17.85,18.24,16.92,16.98,1283600,0.0,0
2008-01-18,17.02,17.59,16.18,16.43,2712300,0.0,0
2008-01-22,15.77,17.02,15.57,16.73,2158000,0.0,0
2008-01-23,16.28,17.2,15.25,17.13,2581300,0.0,0
2008-01-24,17.24,17.96,17.2,17.5,1485100,0.0,0
2008-01-25,17.55,17.9,17.2,17.34,1660600,0.0,0
2008-01-28,17.44,18.3,17.31,18.07,1515000,0.0,0
2008-01-29,18.11,18.13,17.3,17.88,2570700,0.0,0
2008-01-30,17.68,18.37,17.42,17.5,1964700,0.0,0
2008-01-31,17.26,18.41,16.96,18.22,1455100,0.0,0
2008-02-01,18.3,19.03,18.3,18.75,1075500,0.0,0
2008-02-04,18.91,19.07,18.53,19.0,1529600,0.0,0
2008-02-05,18.62,18.94,17.72,17.78,1663700,0.0,0
2008-02-06,17.95,18.13,17.46,17.51,779200,0.0,0
2008-02-07,17.42,18.25,17.39,18.01,896500,0.0,0
2008-02-08,17.91,17.96,17.44,17.68,899200,0.0,0
2008-02-11,17.75,18.08,17.39,17.8,905000,0.0,0
2008-02-12,17.91,18.14,17.63,17.79,685300,0.0,0
2008-02-13,17.9,18.01,17.64,17.78,1300900,0.0,0
2008-02-14,17.86,17.86,17.35,17.43,951700,0.0,0
2008-02-15,17.3,17.67,17.02,17.63,797500,0.0,0
2008-02-19,17.89,18.0,17.23,17.34,1076800,0.0,0
2008-02-20,17.12,18.2,17.0,18.07,936100,0.0,0
2008-02-21,18.25,18.41,17.63,17.67,938500,0.0,0
2008-02-22,17.7,17.74,17.08,17.72,1323100,0.0,0
2008-02-25,17.67,18.28,17.4,18.19,998600,0.0,0
2008-02-26,18.19,18.9,18.19,18.64,1155000,0.0,0
2008-02-27,18.52,19.29,18.51,18.94,1018200,0.0,0
2008-02-28,18.87,18.87,17.92,17.97,993600,0.0,0
2008-02-29,17.75,17.75,17.16,17.22,954900,0.0,0
2008-03-03,17.19,17.39,16.99,17.15,1388000,0.0,0
2008-03-04,16.94,17.17,16.48,16.72,1576900,0.0,0
2008-03-05,16.87,17.22,16.44,16.88,1452700,0.0,0
2008-03-06,16.69,16.7,16.18,16.2,1123600,0.0,0
2008-03-07,16.06,16.63,15.87,16.32,977400,0.0,0
2008-03-10,16.21,16.26,15.49,15.49,1685400,0.0,0
2008-03-11,15.88,16.84,15.88,16.84,1827400,0.0,0
2008-03-12,16.7,17.05,16.34,16.36,1934000,0.0,0
2008-03-13,16.16,16.64,15.74,16.52,1530000,0.0,0
2008-03-14,16.7,17.08,16.12,16.92,3260500,0.0,0
2008-03-17,16.48,17.13,15.9,16.58,1854600,0.0,0
2008-03-18,17.06,17.97,16.93,17.95,1689400,0.0,0
2008-03-19,18.06,18.37,17.45,17.45,1288600,0.0,0
2008-03-20,17.74,18.68,17.26,18.59,2235000,0.0,0
2008-03-24,18.67,19.57,18.67,19.1,1655500,0.0,0
2008-03-25,18.96,19.14,18.48,18.83,2489700,0.0,0
2008-03-26,18.59,18.75,18.05,18.22,1628100,0.0,0
2008-03-27,18.3,18.32,17.67,17.7,1206900,0.0,0
2008-03-28,17.8,17.89,17.2,17.25,1029500,0.0,0
2008-03-31,17.19,17.85,17.07,17.65,796800,0.0,0
2008-04-01,17.25,18.55,17.17,18.52,1595400,0.0,0
2008-04-02,18.56,18.88,18.05,18.48,1040900,0.19,0
2008-04-03,18.32,18.94,18.24,18.78,833100,0.0,0
2008-04-04,18.79,18.8,18.16,18.4,951200,0.0,0
2008-04-07,18.58,18.78,18.38,18.5,653600,0.0,0
2008-04-08,18.35,18.44,18.06,18.37,492900,0.0,0
2008-04-09,18.47,18.49,17.72,17.79,1112500,0.0,0
2008-04-10,17.83,18.47,17.72,18.36,932100,0.0,0
2008-04-11,18.2,18.38,17.58,17.66,1014600,0.0,0
2008-04-14,17.59,17.76,17.06,17.18,713400,0.0,0
2008-04-15,17.32,17.53,17.13,17.47,769200,0.0,0
2008-04-16,17.6,18.08,17.45,17.99,682600,0.0,0
2008-04-17,17.88,18.03,17.66,18.0,724700,0.0,0
2008-04-18,18.24,18.8,18.24,18.41,883400,0.0,0
2008-04-21,18.46,18.48,18.1,18.27,780300,0.0,0
2008-04-22,17.76,18.15,17.15,17.57,3610600,0.0,0
2008-04-23,17.68,18.4,17.43,18.22,1655300,0.0,0
2008-04-24,18.21,19.11,17.95,18.93,1485700,0.0,0
2008-04-25,19.01,19.25,18.72,19.0,1148200,0.0,0
2008-04-28,19.09,19.09,18.73,18.92,844700,0.0,0
2008-04-29,18.93,18.98,18.61,18.84,488300,0.0,0
2008-04-30,18.95,19.14,18.57,18.71,723300,0.0,0
2008-05-01,18.74,19.82,18.69,19.79,1149200,0.0,0
2008-05-02,20.0,20.47,19.65,19.91,1219000,0.0,0
2008-05-05,19.84,19.92,19.49,19.61,999200,0.0,0
2008-05-06,19.42,19.85,19.16,19.77,808700,0.0,0
2008-05-07,19.84,19.84,18.76,18.84,1232300,0.0,0
2008-05-08,18.97,18.99,18.37,18.71,978700,0.0,0
2008-05-09,18.36,18.9,18.24,18.62,529500,0.0,0
2008-05-12,18.75,19.2,18.52,19.18,619000,0.0,0
2008-05-13,19.25,19.27,18.84,19.09,486600,0.0,0
2008-05-14,19.06,19.37,18.91,19.13,751000,0.0,0
2008-05-15,19.08,19.3,18.8,19.29,463900,0.0,0
2008-05-16,19.5,19.56,18.74,19.04,549100,0.0,0
2008-05-19,18.89,19.26,18.76,18.92,685600,0.0,0
2008-05-20,18.81,18.82,18.34,18.56,685900,0.0,0
2008-05-21,18.59,18.81,18.03,18.11,710000,0.0,0
2008-05-22,18.08,18.38,17.99,18.21,963600,0.0,0
2008-05-23,18.13,18.3,17.97,18.16,894100,0.0,0
2008-05-27,18.16,18.69,18.07,18.62,1046300,0.0,0
2008-05-28,18.64,18.87,18.39,18.78,696500,0.0,0
2008-05-29,18.78,19.62,18.78,19.2,842100,0.0,0
2008-05-30,19.4,19.82,19.29,19.54,1404700,0.0,0
2008-06-02,19.53,19.67,18.97,19.37,788800,0.0,0
2008-06-03,19.58,19.99,19.4,19.9,1268700,0.0,0
2008-06-04,19.79,20.06,19.55,19.76,953700,0.0,0
2008-06-05,19.77,20.53,19.72,20.53,1102800,0.0,0
2008-06-06,20.35,20.35,19.66,19.66,997400,0.0,0
2008-06-09,19.71,19.83,19.36,19.57,795100,0.0,0
2008-06-10,19.39,20.15,19.34,19.82,995700,0.0,0
2008-06-11,19.78,19.83,19.11,19.11,1038000,0.0,0
2008-06-12,19.39,19.93,19.04,19.34,1017900,0.0,0
2008-06-13,19.63,20.52,19.58,20.49,1235100,0.0,0
2008-06-16,20.31,20.9,20.16,20.72,1214100,0.0,0
2008-06-17,20.67,20.78,19.95,20.02,1045100,0.0,0
2008-06-18,19.88,20.4,19.78,20.27,975500,0.0,0
2008-06-19,20.3,20.67,19.85,20.62,855300,0.0,0
2008-06-20,20.48,21.0,19.77,19.99,1312500,0.0,0
2008-06-23,20.12,20.27,19.79,20.14,1086800,0.0,0
2008-06-24,20.05,20.16,19.51,19.89,1246300,0.0,0
2008-06-25,20.03,20.38,19.43,19.66,1326800,0.0,0
2008-06-26,19.42,20.15,19.32,19.46,1395200,0.0,0
2008-06-27,19.56,19.67,18.93,19.37,6800100,0.0,0
2008-06-30,19.37,19.76,19.15,19.35,1256500,0.0,0
2008-07-01,19.15,19.29,18.66,19.26,1931600,0.0,0
2008-07-02,19.2,19.38,18.66,18.66,1291600,0.0,0
