Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,22.2,22.2,21.11,21.2,24387800,0.0,0
2008-01-03,21.31,21.39,20.52,20.78,26313100,0.0,0
2008-01-04,20.58,20.63,19.66,20.03,50818700,0.0,0
2008-01-07,20.18,20.43,19.75,20.16,25887100,0.0,0
2008-01-08,20.3,20.48,19.21,19.3,41495200,0.0,0
2008-01-09,19.3,19.76,18.79,19.7,37293300,0.0,0
2008-01-10,19.35,20.73,19.3,20.33,44359200,0.0,0
2008-01-11,20.19,20.86,19.78,20.54,32925100,0.0,0
2008-01-14,20.67,20.7,20.15,20.55,22667200,0.0,0
2008-01-15,19.82,19.95,19.27,19.3,36283900,0.0,0
2008-01-16,20.18,20.48,19.46,19.94,43681900,0.0,0
2008-01-17,20.04,20.17,18.94,19.03,34795200,0.0,0
2008-01-18,19.42,19.66,18.23,18.56,49848000,0.0,0
2008-01-22,17.76,20.59,17.76,19.63,60889400,0.0,0
2008-01-23,19.09,21.93,19.09,21.4,88250400,0.0,0
2008-01-24,21.85,22.9,21.47,22.7,65278700,0.0,0
2008-01-25,22.98,23.34,21.88,22.33,57728300,0.0,0
2008-01-28,22.15,23.26,22.05,23.16,36801500,0.0,0
2008-01-29,23.31,23.92,22.84,23.75,44412500,0.0,0
2008-01-30,23.66,24.77,23.45,23.86,62076900,0.0,0
2008-01-31,23.46,24.95,23.14,24.83,60276300,0.0,0
2008-02-01,24.23,25.18,24.14,24.51,44720500,0.0,0
2008-02-04,23.59,23.71,22.65,22.87,39734200,0.0,0
2008-02-05,22.28,22.56,22.01,22.2,33198700,0.0,0
2008-02-06,22.7,22.81,21.89,22.14,30586300,0.31,0
2008-02-07,21.96,22.72,21.85,22.42,31932500,0.0,0
2008-02-08,22.34,22.42,21.38,21.7,34869000,0.0,0
2008-02-11,22.0,22.0,21.22,21.74,23042800,0.0,0
2008-02-12,21.92,22.34,21.64,22.02,28865800,0.0,0
2008-02-13,22.23,22.56,21.8,22.42,34892200,0.0,0
2008-02-14,22.48,22.55,21.71,21.78,25116200,0.0,0
2008-02-15,21.65,21.92,21.16,21.85,26386700,0.0,0
2008-02-19,22.45,22.64,21.68,21.98,29717800,0.0,0
2008-02-20,21.74,22.68,21.53,22.56,28800700,0.0,0
2008-02-21,22.68,22.93,22.53,22.62,28937100,0.0,0
2008-02-22,22.71,23.24,22.31,23.14,28788100,0.0,0
2008-02-25,22.96,23.45,22.59,23.32,42232900,0.0,0
2008-02-26,23.25,23.54,22.82,23.11,30393300,0.0,0
2008-02-27,22.7,23.78,22.56,23.36,30550200,0.0,0
2008-02-28,23.13,23.13,22.48,22.49,27700300,0.0,0
2008-02-29,22.27,22.37,21.36,21.51,33507400,0.0,0
2008-03-03,21.52,21.53,20.77,21.25,25951400,0.0,0
2008-03-04,20.93,21.39,20.49,21.22,30441700,0.0,0
2008-03-05,21.53,22.08,21.04,21.33,32727100,0.0,0
2008-03-06,21.04,21.2,20.42,20.48,33668800,0.0,0
2008-03-07,20.22,21.63,19.97,20.69,48327100,0.0,0
2008-03-10,20.96,21.01,20.19,20.53,33698100,0.0,0
2008-03-11,21.99,22.68,21.16,22.68,51189600,0.0,0
2008-03-12,22.39,23.25,21.67,21.74,39549000,0.0,0
2008-03-13,21.2,21.95,20.51,21.7,51569200,0.0,0
2008-03-14,21.89,22.12,20.61,20.94,51388600,0.0,0
2008-03-17,20.05,21.57,19.94,21.18,54665200,0.0,0
2008-03-18,22.15,23.24,21.82,23.21,55149600,0.0,0
2008-03-19,23.32,23.87,22.29,22.51,46917900,0.0,0
2008-03-20,22.78,24.14,22.63,23.95,47658600,0.0,0
2008-03-24,23.84,24.68,23.55,23.62,45234500,0.0,0
2008-03-25,23.58,23.9,23.07,23.59,27482600,0.0,0
2008-03-26,23.4,23.4,22.19,22.67,36599400,0.0,0
2008-03-27,22.96,22.96,22.11,22.27,26998000,0.0,0
2008-03-28,22.38,22.46,21.5,21.6,28854000,0.0,0
2008-03-31,21.63,21.89,21.28,21.42,34976200,0.0,0
2008-04-01,22.32,23.2,22.16,23.17,36070500,0.0,0
2008-04-02,23.34,23.37,22.31,22.47,37101500,0.0,0
2008-04-03,22.25,22.81,22.08,22.66,20045200,0.0,0
2008-04-04,22.67,22.92,22.36,22.76,25087100,0.0,0
2008-04-07,23.15,23.38,22.64,22.66,20142300,0.0,0
2008-04-08,22.28,22.32,21.83,22.03,33757900,0.0,0
2008-04-09,22.09,22.19,21.37,21.67,29806200,0.0,0
2008-04-10,21.57,21.75,20.9,20.99,45453800,0.0,0
2008-04-11,20.78,21.22,20.53,20.58,44211800,0.0,0
2008-04-14,20.35,20.54,19.93,20.02,36081500,0.0,0
2008-04-15,20.22,20.59,19.96,20.47,29674500,0.0,0
2008-04-16,22.04,22.33,20.97,21.35,69841500,0.0,0
2008-04-17,21.12,22.01,21.03,21.86,32575200,0.0,0
2008-04-18,22.54,22.84,22.26,22.37,37941600,0.0,0
2008-04-21,21.98,22.03,21.39,21.54,24365800,0.0,0
2008-04-22,21.48,21.78,21.31,21.62,22788100,0.0,0
2008-04-23,21.67,21.81,21.03,21.28,24533400,0.0,0
2008-04-24,21.31,22.18,21.17,21.97,28973100,0.0,0
2008-04-25,22.12,22.67,21.75,22.51,25805400,0.0,0
2008-04-28,22.45,22.58,22.17,22.33,17222000,0.0,0
2008-04-29,22.33,22.39,21.89,21.99,19367400,0.0,0
2008-04-30,22.0,22.51,21.76,21.89,21492200,0.0,0
2008-05-01,21.91,23.38,21.89,22.95,38326900,0.0,0
2008-05-02,23.4,23.84,22.77,22.92,25950200,0.0,0
2008-05-05,22.9,23.1,22.56,22.92,18618000,0.0,0
2008-05-06,22.54,23.25,22.45,23.01,21163200,0.0,0
2008-05-07,23.21,23.24,22.14,22.22,27670800,0.31,0
2008-05-08,22.35,22.38,21.62,21.84,24230300,0.0,0
2008-05-09,21.74,22.26,21.56,21.8,16056300,0.0,0
2008-05-12,21.93,22.22,21.85,22.12,13503000,0.0,0
2008-05-13,22.14,22.27,21.48,21.53,27224800,0.0,0
2008-05-14,21.65,21.88,21.38,21.49,25831600,0.0,0
2008-05-15,21.54,22.0,21.34,22.0,27903900,0.0,0
2008-05-16,22.03,22.04,21.27,21.52,25883600,0.0,0
2008-05-19,21.56,21.88,21.11,21.17,28571900,0.0,0
2008-05-20,21.03,21.06,20.63,20.85,31462700,0.0,0
2008-05-21,20.78,21.1,20.42,20.59,32859800,0.0,0
2008-05-22,20.63,21.14,20.48,20.75,26221400,0.0,0
2008-05-23,20.69,20.76,20.4,20.57,23920700,0.0,0
2008-05-27,20.55,20.83,20.18,20.49,27493300,0.0,0
2008-05-28,20.6,20.72,19.79,20.42,39715000,0.0,0
2008-05-29,20.34,20.91,20.26,20.8,25225100,0.0,0
2008-05-30,21.03,21.03,20.44,20.49,19411300,0.0,0
2008-06-02,20.42,20.47,19.85,20.15,23179200,0.0,0
2008-06-03,20.26,20.4,19.76,19.91,30363600,0.0,0
2008-06-04,19.78,20.07,19.47,19.8,33490000,0.0,0
2008-06-05,19.94,20.42,19.78,20.22,26962600,0.0,0
2008-06-06,19.92,19.94,18.82,18.89,57724400,0.0,0
2008-06-09,19.12,19.23,18.45,18.78,40108200,0.0,0
2008-06-10,18.61,19.69,18.44,19.26,43539900,0.0,0
2008-06-11,19.41,19.44,18.95,18.99,48023600,0.0,0
2008-06-12,19.13,19.94,19.02,19.34,40700800,0.0,0
2008-06-13,19.55,19.77,18.8,19.39,32367300,0.0,0
2008-06-16,19.35,20.05,19.04,19.61,33166500,0.0,0
2008-06-17,19.88,20.22,18.78,18.88,40682000,0.0,0
2008-06-18,18.58,19.21,18.41,18.9,42211000,0.0,0
2008-06-19,18.93,19.1,18.26,19.05,47029900,0.0,0
2008-06-20,18.26,18.88,17.84,18.21,62647400,0.0,0
2008-06-23,18.31,18.43,17.75,18.03,36638600,0.0,0
2008-06-24,18.0,19.1,17.77,18.73,50002700,0.0,0
2008-06-25,18.86,19.73,18.75,18.88,41995500,0.0,0
2008-06-26,18.43,18.81,17.89,17.89,59131200,0.0,0
2008-06-27,18.02,18.28,17.56,17.86,49640300,0.0,0
2008-06-30,17.92,18.08,17.44,17.65,42295500,0.0,0
2008-07-01,17.45,18.0,17.13,17.93,58147900,0.0,0
2008-07-02,18.0,18.42,17.5,17.53,34038500,0.0,0
2008-07-03,17.77,18.15,17.36,17.78,28348800,0.0,0
2008-07-07,17.99,18.21,16.72,17.48,58126600,0.0,0
2008-07-08,17.61,18.42,17.01,18.34,61171700,0.0,0
2008-07-09,18.38,18.71,17.51,17.62,52656700,0.0,0
2008-07-10,17.34,17.95,17.02,17.55,61009300,0.0,0
2008-07-11,16.77,17.68,16.43,17.1,82338800,0.0,0
2008-07-14,17.74,17.83,15.97,16.03,56418100,0.0,0
2008-07-15,15.62,16.96,15.21,15.25,122587000,0.0,0
2008-07-16,17.68,20.31,17.24,20.24,206249200,0.0,0
2008-07-17,20.05,21.36,18.98,20.69,115206800,0.0,0
2008-07-18,20.87,21.04,19.66,20.71,71649800,0.0,0
2008-07-21,20.85,21.26,20.29,20.47,70613600,0.0,0
2008-07-22,20.28,22.75,19.79,22.62,100898900,0.0,0
2008-07-23,22.39,23.76,22.2,22.63,122201200,0.0,0
2008-07-24,22.82,22.9,21.56,21.67,70564700,0.0,0
2008-07-25,21.8,22.31,21.19,21.62,55525300,0.0,0
2008-07-28,21.56,22.05,20.66,20.76,46645300,0.0,0
2008-07-29,20.94,22.64,20.61,22.64,62303400,0.0,0
2008-07-30,23.04,23.41,22.2,23.19,65749100,0.0,0
2008-07-31,22.83,23.22,22.31,22.5,48107500,0.0,0
2008-08-01,22.5,22.77,22.08,22.67,40425300,0.0,0
2008-08-04,22.37,22.87,21.88,22.43,46627900,0.0,0
2008-08-05,22.71,23.56,22.48,23.44,45806300,0.0,0
2008-08-06,23.14,23.27,22.62,22.78,42199300,0.34,0
2008-08-07,22.47,23.02,21.45,21.8,57510900,0.0,0
2008-08-08,21.81,22.93,21.57,22.67,45857600,0.0,0
2008-08-11,22.69,24.1,22.69,23.75,55278900,0.0,0
2008-08-12,23.29,23.68,22.61,22.83,54318600,0.0,0
2008-08-13,22.65,22.79,21.79,22.01,53459400,0.0,0
2008-08-14,21.93,22.93,21.75,22.67,40937100,0.0,0
2008-08-15,22.4,22.91,21.98,22.36,43611700,0.0,0
2008-08-18,22.44,22.44,21.46,21.64,38157700,0.0,0
2008-08-19,21.42,21.42,20.57,20.88,45428100,0.0,0
2008-08-20,21.05,21.8,20.42,21.73,52813300,0.0,0
2008-08-21,21.17,21.55,21.07,21.37,37272800,0.0,0
2008-08-22,21.96,22.29,21.57,22.06,44892000,0.0,0
2008-08-25,21.73,21.96,21.45,21.54,30517900,0.0,0
2008-08-26,21.56,21.99,21.11,21.56,33048100,0.0,0
2008-08-27,21.59,21.9,21.32,21.72,25864700,0.0,0
2008-08-28,22.05,22.87,21.78,22.87,36971300,0.0,0
2008-08-29,22.67,22.97,22.42,22.75,29295400,0.0,0
2008-09-02,23.46,23.81,23.08,23.45,37648600,0.0,0
2008-09-03,23.38,23.59,22.98,23.3,38035000,0.0,0
2008-09-04,22.96,23.26,22.22,22.29,46546500,0.0,0
2008-09-05,22.22,23.55,21.63,23.44,52598700,0.0,0
2008-09-08,24.98,25.52,23.92,25.22,97528900,0.0,0
2008-09-09,24.85,25.36,23.41,23.42,68945200,0.0,0
2008-09-10,23.67,24.42,22.62,23.82,57747600,0.0,0
2008-09-11,23.07,25.5,22.93,25.44,76365300,0.0,0
2008-09-12,24.99,25.92,24.77,25.77,63888200,0.0,0
2008-09-15,24.55,26.3,23.29,23.29,100858600,0.0,0
2008-09-16,23.44,26.39,23.29,26.25,115545500,0.0,0
2008-09-17,25.4,26.49,24.72,25.12,98504500,0.0,0
2008-09-18,25.76,29.72,24.25,27.8,166561000,0.0,0
2008-09-19,33.29,33.63,27.81,29.91,96587700,0.0,0
2008-09-22,29.42,29.46,25.77,26.43,54381000,0.0,0
2008-09-23,26.34,27.49,25.57,25.68,32709700,0.0,0
2008-09-24,26.37,26.86,25.61,25.75,26497100,0.0,0
2008-09-25,26.49,26.9,25.56,25.64,38564000,0.0,0
2008-09-26,25.0,28.74,24.8,28.04,56079000,0.0,0
2008-09-29,27.05,28.86,24.98,24.98,67567100,0.0,0
2008-09-30,26.57,28.55,26.15,28.2,46865200,0.0,0
2008-10-01,27.79,29.0,27.42,27.58,47778200,0.0,0
2008-10-02,27.8,28.3,26.31,26.42,39351300,0.0,0
2008-10-03,28.54,29.27,25.92,25.97,81074700,0.0,0
2008-10-06,25.02,26.66,23.98,25.28,59028000,0.0,0
