Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.81,18.99,18.14,18.51,378100,0.0,0
2008-01-03,18.56,18.65,17.99,18.05,451400,0.0,0
2008-01-04,17.84,18.08,17.39,17.56,573700,0.0,0
2008-01-07,17.6,18.04,17.24,17.35,684100,0.0,0
2008-01-08,17.36,17.73,16.92,17.11,729700,0.0,0
2008-01-09,17.15,17.7,17.03,17.69,426900,0.0,0
2008-01-10,17.53,17.91,17.2,17.54,641100,0.0,0
2008-01-11,17.38,17.62,17.12,17.34,482200,0.0,0
2008-01-14,17.56,17.6,17.23,17.38,429200,0.0,0
2008-01-15,16.98,17.2,16.61,16.9,748800,0.0,0
2008-01-16,16.74,17.77,16.68,17.48,526400,0.0,0
2008-01-17,17.41,17.72,16.8,17.2,514900,0.0,0
2008-01-18,17.29,17.51,16.61,17.01,349600,0.0,0
2008-01-22,16.31,18.18,16.31,17.4,667200,0.0,0
2008-01-23,16.97,19.27,16.96,19.22,875200,0.0,0
2008-01-24,19.42,19.76,17.87,18.02,551600,0.0,0
2008-01-25,18.12,18.52,17.85,18.11,473600,0.0,0
2008-01-28,18.24,18.85,17.55,18.83,313200,0.0,0
2008-01-29,18.92,19.35,18.42,19.19,386500,0.0,0
2008-01-30,18.93,19.23,18.5,18.57,258200,0.0,0
2008-01-31,18.2,19.49,17.98,18.91,489600,0.0,0
2008-02-01,19.05,19.64,18.85,19.64,290700,0.0,0
2008-02-04,19.62,19.62,18.72,18.86,351700,0.0,0
2008-02-05,18.35,19.16,17.93,17.94,414300,0.0,0
2008-02-06,18.15,18.55,17.57,17.62,256800,0.0,0
2008-02-07,17.55,17.85,17.08,17.49,813500,0.0,0
2008-02-08,17.48,17.61,16.99,17.54,381100,0.0,0
2008-02-11,17.62,17.89,17.03,17.49,418500,0.0,0
2008-02-12,17.75,18.29,17.57,17.81,591200,0.0,0
2008-02-13,18.0,18.34,17.81,18.14,217000,0.0,0
2008-02-14,18.23,18.29,17.34,17.56,261900,0.0,0
2008-02-15,17.41,17.41,17.04,17.19,281900,0.0,0
2008-02-19,17.33,17.36,16.99,17.2,260800,0.0,0
2008-02-20,17.12,18.0,17.12,17.67,321800,0.0,0
2008-02-21,17.83,18.82,17.83,18.4,625100,0.0,0
2008-02-22,18.39,18.83,18.35,18.78,455000,0.0,0
2008-02-25,18.7,19.78,18.47,19.78,274100,0.0,0
2008-02-26,19.61,20.47,19.61,20.1,236200,0.0,0
2008-02-27,19.78,20.23,19.24,20.1,248100,0.0,0
2008-02-28,19.76,19.76,18.86,19.26,247300,0.0,0
2008-02-29,18.84,19.14,17.91,18.02,261100,0.0,0
2008-03-03,18.0,18.95,17.62,18.95,195800,0.0,0
2008-03-04,18.71,21.68,18.71,19.95,465300,0.0,0
2008-03-05,19.84,19.92,18.78,19.62,234400,0.12,0
2008-03-06,19.47,20.23,19.16,20.02,234700,0.0,0
2008-03-07,19.64,19.64,18.15,18.39,227700,0.0,0
2008-03-10,18.48,19.55,17.77,19.17,198400,0.0,0
2008-03-11,20.04,20.2,18.44,19.91,335200,0.0,0
2008-03-12,19.84,20.32,18.6,18.79,371900,0.0,0
2008-03-13,18.54,19.85,18.08,19.14,297100,0.0,0
2008-03-14,19.28,19.49,17.97,18.85,179000,0.0,0
2008-03-17,18.28,19.29,18.28,18.5,244900,0.0,0
2008-03-18,18.74,19.31,18.35,19.09,356200,0.0,0
2008-03-19,18.82,19.94,17.93,17.93,483900,0.0,0
2008-03-20,16.4,19.59,15.61,16.47,1891700,0.0,0
