Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,3.5205,3.5205,3.3209,3.3867,2775000,0.0,0.0
2008-01-03,3.3867,3.4266,3.3655,3.4078,1463400,0.0,0.0
2008-01-04,3.382,3.382,3.1119,3.2082,4070200,0.0,0.0
2008-01-07,3.2622,3.2739,3.1589,3.234,1524600,0.0,0.0
2008-01-08,3.3068,3.4031,3.2716,3.3021,3004200,0.0,0.0
2008-01-09,3.2505,3.3068,3.1495,3.2716,3597400,0.0,0.0
2008-01-10,3.1894,3.3233,3.1753,3.3021,3262000,0.0,0.0
2008-01-11,3.2434,3.2434,3.0579,3.126,4203800,0.0,0.0
2008-01-14,3.126,3.187,3.0837,3.1753,3227400,0.0,0.0
2008-01-15,3.1236,3.126,2.9945,3.0226,2311000,0.0,0.0
2008-01-16,2.971,3.0414,2.8301,2.9428,3288000,0.0,0.0
2008-01-17,2.9217,2.9921,2.8535,2.9334,3407800,0.0,0.0
2008-01-18,2.9123,2.9757,2.8301,2.8418,3764200,0.0,0.0
2008-01-22,2.6304,2.9076,2.621,2.8794,4729400,0.0,0.0
2008-01-23,2.8465,2.877,2.6422,2.8653,5095000,0.0,0.0
2008-01-24,2.8441,2.9123,2.7878,2.8888,2624400,0.0,0.0
2008-01-25,2.924,3.0039,2.7948,2.8066,2442800,0.0,0.0
2008-01-28,2.7807,2.8418,2.7572,2.8207,1561000,0.0,0.0
2008-01-29,2.8676,2.87,2.7666,2.7925,2660200,0.0,0.0
2008-01-30,2.7713,2.9146,2.7596,2.816,1590800,0.0,0.0
2008-01-31,2.8019,2.877,2.7197,2.8371,2156800,0.0,0.0
2008-02-01,2.8747,2.9874,2.8488,2.9686,3017800,0.0,0.0
2008-02-04,3.0109,3.0109,2.9616,2.9851,1468400,0.0,0.0
2008-02-05,2.8888,2.9475,2.7995,2.7995,2357000,0.0,0.0
2008-02-06,2.8418,2.8864,2.715,2.722,2051600,0.0,0.0
2008-02-07,2.7009,2.722,2.6257,2.6938,3237400,0.0,0.0
2008-02-08,2.7032,2.8324,2.7032,2.769,2341200,0.0,0.0
2008-02-11,2.7619,2.8277,2.7009,2.7197,1810400,0.0,0.0
2008-02-12,2.776,2.7831,2.7197,2.7432,2697200,0.0,0.0
2008-02-13,2.7479,2.7479,2.6727,2.7338,3290000,0.0,0.0
2008-02-14,2.769,2.8019,2.715,2.7666,2803600,0.0,0.0
2008-02-15,2.7338,2.7619,2.6727,2.7079,1149200,0.0,0.0
2008-02-19,2.715,2.7455,2.6985,2.6985,1504600,0.0,0.0
2008-02-20,2.6868,2.7737,2.6868,2.722,2009000,0.0,0.0
2008-02-21,2.7549,2.7925,2.7056,2.7596,3044000,0.0,0.0
2008-02-22,2.7596,2.7666,2.6891,2.7596,2250000,0.0,0.0
2008-02-25,2.7854,2.8418,2.7408,2.8348,1678200,0.0,0.0
2008-02-26,2.8042,2.9005,2.7784,2.8911,1735200,0.0,0.0
2008-02-27,2.8864,2.9592,2.8348,2.8864,1415800,0.0,0.0
2008-02-28,2.8888,2.9217,2.7878,2.8042,763600,0.0,0.0
2008-02-29,2.7948,2.7948,2.6821,2.7103,1431400,0.0,0.0
2008-03-03,2.6985,2.7103,2.6445,2.7103,1546000,0.0,0.0
2008-03-04,2.6868,2.6868,2.5858,2.675,1423800,0.0,0.0
2008-03-05,2.7009,2.7807,2.668,2.7807,1987000,0.0,0.0
2008-03-06,2.7385,2.7432,2.6187,2.6422,1312200,0.0,0.0
2008-03-07,2.5858,2.6234,2.506,2.5177,1922000,0.0,0.0
2008-03-10,2.5341,2.5506,2.4073,2.4144,2042000,0.0,0.0
2008-03-11,2.4449,2.5764,2.4449,2.5553,2845600,0.0,0.0
2008-03-12,2.5341,2.5764,2.4355,2.4989,1761000,0.0,0.0
2008-03-13,2.4519,2.5623,2.3956,2.5013,2085000,0.0,0.0
2008-03-14,2.5506,2.5506,2.3956,2.4214,2145800,0.0,0.0
2008-03-17,2.3815,2.4425,2.3134,2.3744,2399000,0.0,0.0
2008-03-18,2.4425,2.5294,2.412,2.513,1779600,0.0,0.0
2008-03-19,2.5388,2.5811,2.4073,2.4073,2198800,0.0,0.0
2008-03-20,2.3956,2.513,2.365,2.5036,1160400,0.0,0.0
2008-03-24,2.5271,2.6633,2.5177,2.6633,1806000,0.0,0.0
2008-03-25,2.6985,2.7314,2.6351,2.715,2458200,0.0,0.0
2008-03-26,2.6304,2.6797,2.614,2.6469,1490400,0.0,0.0
2008-03-27,2.6398,2.6821,2.5928,2.6445,3476800,0.0,0.0
