Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,17.87,17.99,17.7,17.79,4440800,0.0,0.0
2008-01-03,17.82,18.34,17.67,18.25,5445200,0.0,0.0
2008-01-04,18.11,18.24,17.68,17.7,4283400,0.0,0.0
2008-01-07,17.77,17.88,17.47,17.61,7467100,0.0,0.0
2008-01-08,17.69,18.05,17.65,17.7,6463000,0.0,0.0
2008-01-09,17.73,17.9,17.49,17.9,4958400,0.0,0.0
2008-01-10,17.72,17.96,17.6,17.89,4587300,0.0,0.0
2008-01-11,17.71,17.88,17.4,17.48,5738800,0.0,0.0
2008-01-14,17.58,17.83,17.54,17.76,4971000,0.0,0.0
2008-01-15,17.58,17.62,16.94,17.01,6495900,0.0,0.0
2008-01-16,16.8,17.08,16.58,16.85,8024600,0.0,0.0
2008-01-17,16.58,17.03,15.73,15.78,10138800,0.0,0.0
2008-01-18,15.79,16.39,15.53,15.8,8348900,0.0,0.0
2008-01-22,15.05,15.62,13.34,15.44,11766800,0.0,0.0
2008-01-23,14.1,15.4,14.04,15.4,12663500,0.0,0.0
2008-01-24,15.42,16.11,15.35,15.88,12145100,0.0,0.0
2008-01-25,15.85,16.09,15.68,15.85,7803400,0.0,0.0
2008-01-28,15.9,15.96,15.56,15.86,5743400,0.0,0.0
2008-01-29,15.93,16.16,15.77,15.82,6901700,0.0,0.0
2008-01-30,15.74,16.24,15.74,15.91,6738700,0.0,0.0
2008-01-31,15.63,16.0,15.59,15.9,7869200,0.0,0.0
2008-02-01,15.93,16.17,15.77,16.16,5283300,0.0,0.0
2008-02-04,16.1,16.47,16.01,16.36,4684400,0.0,0.0
2008-02-05,16.1,16.55,15.96,16.01,8056400,0.0,0.0
2008-02-06,16.14,16.42,15.91,15.97,5285600,0.0,0.0
2008-02-07,15.87,16.18,15.74,16.03,5049600,0.0,0.0
2008-02-08,15.89,16.42,15.89,16.36,5282200,0.0,0.0
2008-02-11,16.39,17.06,16.39,17.01,7521700,0.0,0.0
2008-02-12,17.08,17.35,16.65,16.84,5041700,0.0,0.0
2008-02-13,17.0,17.18,16.88,17.14,4085800,0.0,0.0
2008-02-14,17.11,17.4,17.06,17.08,3612600,0.0,0.0
