Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.11,19.25,18.23,18.28,1249000,0.0,0
2008-01-03,18.35,18.41,17.59,17.67,2396800,0.0,0
2008-01-04,17.38,17.5,16.77,17.28,2554800,0.0,0
2008-01-07,17.45,17.71,16.88,17.42,2064500,0.0,0
2008-01-08,17.47,17.69,17.07,17.07,1518000,0.0,0
2008-01-09,17.12,17.59,16.83,17.52,2374800,0.0,0
2008-01-10,17.33,17.58,16.85,17.32,1922000,0.0,0
2008-01-11,17.1,17.2,16.2,16.29,1869700,0.0,0
2008-01-14,16.38,16.4,15.71,16.29,2106400,0.0,0
2008-01-15,13.92,15.16,13.92,14.69,7993200,0.0,0
2008-01-16,14.52,15.49,14.51,15.08,3778500,0.0,0
2008-01-17,15.18,15.81,15.0,15.07,2751400,0.0,0
2008-01-18,15.11,16.05,15.11,15.6,4568900,0.0,0
2008-01-22,15.01,17.84,15.01,17.43,8231300,0.0,0
2008-01-23,17.11,18.72,16.91,18.47,5413300,0.115,0
2008-01-24,18.28,19.07,17.82,18.07,4013600,0.0,0
2008-01-25,18.06,18.25,16.91,17.07,2820500,0.0,0
2008-01-28,17.03,18.72,17.0,18.72,3072100,0.0,0
2008-01-29,18.86,19.01,18.17,19.01,1788600,0.0,0
2008-01-30,18.95,19.06,18.22,18.64,2097400,0.0,0
2008-01-31,18.32,19.98,18.06,19.83,2376400,0.0,0
2008-02-01,19.77,20.36,19.63,20.3,2456400,0.0,0
2008-02-04,20.22,20.22,19.57,19.86,2713200,0.0,0
2008-02-05,19.55,19.96,18.77,18.88,3089400,0.0,0
2008-02-06,18.95,19.57,18.64,18.75,2034400,0.0,0
2008-02-07,18.6,19.75,18.57,19.53,2842300,0.0,0
2008-02-08,19.62,19.72,18.75,18.84,3086100,0.0,0
2008-02-11,18.91,19.58,18.51,19.35,1644000,0.0,0
2008-02-12,19.45,19.92,19.11,19.24,1951500,0.0,0
2008-02-13,19.5,19.63,18.53,18.85,2060000,0.0,0
2008-02-14,18.85,18.91,18.02,18.13,2044300,0.0,0
2008-02-15,17.96,17.96,17.36,17.86,2132100,0.0,0
2008-02-19,18.01,18.34,17.22,17.47,1626200,0.0,0
2008-02-20,17.33,18.34,17.26,17.93,2356000,0.0,0
2008-02-21,18.07,18.26,17.4,17.49,1990200,0.0,0
2008-02-22,17.56,17.61,16.85,17.52,1765700,0.0,0
2008-02-25,17.48,18.05,17.14,17.89,1657300,0.0,0
2008-02-26,17.81,18.56,17.75,18.45,1909000,0.0,0
2008-02-27,18.35,18.82,18.19,18.62,1410500,0.0,0
2008-02-28,18.4,18.4,17.85,17.92,1507400,0.0,0
2008-02-29,17.76,17.77,17.04,17.23,1810100,0.0,0
2008-03-03,17.27,17.55,16.74,17.46,1285100,0.0,0
2008-03-04,17.24,17.51,16.94,17.43,815500,0.0,0
2008-03-05,17.53,17.98,16.88,17.21,1272700,0.0,0
2008-03-06,17.08,17.15,16.4,16.44,1415700,0.0,0
2008-03-07,16.26,16.74,16.08,16.55,1683000,0.0,0
2008-03-10,16.62,16.95,16.22,16.23,1176500,0.0,0
2008-03-11,16.79,16.97,16.26,16.95,1746900,0.0,0
2008-03-12,16.85,17.44,16.51,16.62,1165600,0.0,0
2008-03-13,16.39,17.66,16.23,17.5,2161000,0.0,0
2008-03-14,17.44,17.58,16.78,17.08,1506300,0.0,0
2008-03-17,16.34,17.37,16.31,16.97,2463100,0.0,0
2008-03-18,17.47,17.95,17.15,17.92,1837800,0.0,0
2008-03-19,17.91,18.35,17.84,18.02,1846200,0.0,0
2008-03-20,18.06,18.94,18.0,18.84,1651400,0.0,0
2008-03-24,18.91,19.96,18.66,19.54,1841700,0.0,0
2008-03-25,18.88,18.95,18.02,18.73,3608800,0.0,0
2008-03-26,18.44,18.8,18.14,18.43,2544100,0.0,0
2008-03-27,17.38,17.97,17.12,17.52,5290900,0.0,0
2008-03-28,17.52,17.74,17.42,17.55,3599500,0.0,0
2008-03-31,17.56,17.95,17.5,17.88,1616300,0.0,0
2008-04-01,18.09,18.97,18.05,18.94,1601800,0.0,0
2008-04-02,18.98,19.65,18.9,19.25,1481800,0.0,0
2008-04-03,18.6,19.62,18.6,19.46,1441700,0.0,0
2008-04-04,19.55,19.78,19.04,19.55,1290500,0.0,0
2008-04-07,19.58,19.62,18.91,19.02,1432500,0.0,0
2008-04-08,18.97,19.11,18.56,18.67,1502000,0.0,0
2008-04-09,18.65,18.87,17.9,18.03,1756900,0.0,0
2008-04-10,17.99,19.29,17.88,18.99,1644400,0.0,0
2008-04-11,18.77,19.32,18.52,18.83,1055900,0.0,0
2008-04-14,18.8,19.05,18.59,18.7,840200,0.0,0
2008-04-15,18.82,19.08,18.59,18.92,539600,0.0,0
2008-04-16,19.09,19.34,18.85,19.15,808500,0.0,0
2008-04-17,19.15,19.59,19.01,19.52,856500,0.0,0
2008-04-18,20.09,20.36,19.73,19.97,769400,0.0,0
2008-04-21,19.85,20.74,19.84,20.45,868000,0.0,0
2008-04-22,20.36,20.36,19.41,19.69,1184200,0.0,0
2008-04-23,19.83,20.0,19.56,19.59,1172300,0.12,0
2008-04-24,19.65,20.61,19.4,20.04,1579800,0.0,0
2008-04-25,20.04,20.89,19.8,20.51,1171200,0.0,0
2008-04-28,19.98,20.68,19.93,20.2,800500,0.0,0
2008-04-29,20.21,20.4,19.72,20.28,811000,0.0,0
2008-04-30,20.4,20.53,19.43,19.56,1610100,0.0,0
2008-05-01,19.6,20.75,19.34,19.89,1697700,0.0,0
2008-05-02,20.09,20.69,19.91,20.18,1203600,0.0,0
2008-05-05,20.93,20.93,19.92,20.42,980600,0.0,0
2008-05-06,20.23,20.77,19.92,20.5,828200,0.0,0
2008-05-07,20.49,20.66,19.35,19.45,1854500,0.0,0
2008-05-08,19.57,19.72,18.66,18.97,1813200,0.0,0
2008-05-09,18.99,19.52,18.72,19.02,1133900,0.0,0
2008-05-12,19.03,19.89,18.8,18.96,1639100,0.0,0
2008-05-13,19.04,19.71,18.92,19.37,1198200,0.0,0
2008-05-14,19.47,19.95,19.47,19.8,720400,0.0,0
2008-05-15,20.0,22.09,19.68,20.29,902500,0.0,0
2008-05-16,20.34,20.34,19.52,19.99,726800,0.0,0
2008-05-19,19.96,20.24,19.62,19.82,755100,0.0,0
2008-05-20,19.72,19.72,19.02,19.31,1065900,0.0,0
2008-05-21,19.38,19.57,18.06,18.63,1486500,0.0,0
2008-05-22,18.59,18.86,18.21,18.43,1269800,0.0,0
2008-05-23,18.33,19.04,17.77,18.2,1479200,0.0,0
2008-05-27,18.34,18.7,17.97,18.41,1078500,0.0,0
2008-05-28,18.46,18.7,18.17,18.4,782700,0.0,0
2008-05-29,18.37,19.02,18.32,18.73,943700,0.0,0
2008-05-30,18.92,18.97,18.53,18.83,1649800,0.0,0
2008-06-02,18.82,19.13,18.07,18.21,1507400,0.0,0
2008-06-03,18.5,18.74,17.77,18.52,2698300,0.0,0
2008-06-04,18.55,18.72,17.4,17.65,3674800,0.0,0
2008-06-05,17.66,17.95,17.31,17.55,1642700,0.0,0
2008-06-06,17.37,17.73,16.6,16.68,2200600,0.0,0
2008-06-09,16.66,16.77,16.2,16.43,2247800,0.0,0
2008-06-10,16.19,16.71,16.09,16.24,2099400,0.0,0
2008-06-11,16.14,16.26,15.32,15.32,1987600,0.0,0
2008-06-12,15.61,16.16,15.6,15.73,1806100,0.0,0
2008-06-13,15.8,16.79,15.69,16.49,2362900,0.0,0
2008-06-16,16.51,16.74,16.26,16.67,1619300,0.0,0
2008-06-17,16.75,16.86,16.3,16.3,1483400,0.0,0
2008-06-18,16.23,16.66,16.06,16.48,1571000,0.0,0
2008-06-19,16.46,16.77,16.31,16.77,1070000,0.0,0
2008-06-20,16.45,16.6,16.29,16.32,2314400,0.0,0
2008-06-23,16.46,16.46,16.23,16.36,1942400,0.0,0
2008-06-24,16.22,16.29,15.56,15.77,1970800,0.0,0
2008-06-25,15.86,16.51,15.83,16.15,1375000,0.0,0
2008-06-26,15.95,16.23,15.59,15.63,1098200,0.0,0
2008-06-27,15.57,15.7,15.0,15.23,1826500,0.0,0
2008-06-30,15.19,15.23,14.68,14.7,1415000,0.0,0
2008-07-01,14.37,14.71,14.15,14.54,1813700,0.0,0
2008-07-02,14.48,14.86,13.68,13.71,1978800,0.0,0
2008-07-03,13.74,14.49,13.74,14.39,1072100,0.0,0
2008-07-07,14.48,14.64,14.09,14.46,1598700,0.0,0
2008-07-08,14.43,15.08,14.12,15.03,1339000,0.0,0
2008-07-09,15.13,15.17,14.36,14.48,1200400,0.0,0
2008-07-10,14.48,14.52,13.72,13.85,1685400,0.0,0
2008-07-11,13.71,14.4,13.19,14.16,2283000,0.0,0
2008-07-14,14.32,14.39,13.51,13.63,1094800,0.0,0
2008-07-15,13.48,13.56,13.17,13.31,2466700,0.0,0
2008-07-16,13.39,14.88,13.3,14.74,1676500,0.0,0
2008-07-17,14.73,15.92,14.46,14.77,4315000,0.0,0
2008-07-18,14.89,15.01,14.17,14.2,3166600,0.0,0
2008-07-21,14.27,14.43,13.75,13.97,1363100,0.0,0
2008-07-22,13.86,14.27,13.4,14.19,2830200,0.0,0
2008-07-23,14.11,15.02,13.92,14.37,3400800,0.12,0
2008-07-24,14.39,14.58,13.49,13.56,1909100,0.0,0
2008-07-25,13.7,13.76,13.32,13.51,2726300,0.0,0
2008-07-28,13.53,13.7,13.06,13.17,1160400,0.0,0
2008-07-29,13.14,13.49,13.08,13.33,1702600,0.0,0
2008-07-30,13.52,13.65,12.82,13.04,1454700,0.0,0
2008-07-31,12.92,13.41,12.87,13.0,1451900,0.0,0
2008-08-01,12.97,13.27,12.79,13.03,2296500,0.0,0
2008-08-04,13.02,13.26,12.7,12.81,1753100,0.0,0
2008-08-05,12.88,13.57,12.86,13.38,2227800,0.0,0
2008-08-06,13.41,13.49,13.03,13.41,2910800,0.0,0
2008-08-07,13.24,13.47,12.94,13.13,3347800,0.0,0
2008-08-08,13.06,13.85,13.03,13.67,3260000,0.0,0
2008-08-11,13.61,14.62,13.57,14.23,2896200,0.0,0
2008-08-12,13.97,14.54,13.95,14.39,3952600,0.0,0
2008-08-13,14.49,14.49,13.75,13.99,2503200,0.0,0
2008-08-14,14.05,14.43,13.93,14.08,1248500,0.0,0
2008-08-15,14.19,14.54,14.07,14.42,1642100,0.0,0
2008-08-18,14.52,14.55,13.94,14.08,1194500,0.0,0
2008-08-19,14.07,14.07,13.49,13.56,1314500,0.0,0
2008-08-20,13.57,13.7,13.2,13.36,1053300,0.0,0
2008-08-21,13.17,13.68,13.08,13.66,1071900,0.0,0
2008-08-22,13.67,13.93,13.5,13.75,874200,0.0,0
2008-08-25,13.61,13.64,13.0,13.19,1217900,0.0,0
2008-08-26,13.19,13.4,13.0,13.4,1021300,0.0,0
2008-08-27,13.24,13.79,13.12,13.75,1954000,0.0,0
2008-08-28,12.67,13.11,12.12,12.68,5239000,0.0,0
2008-08-29,12.55,13.19,12.31,13.19,2651400,0.0,0
2008-09-02,13.26,14.06,13.24,13.41,2097600,0.0,0
2008-09-03,13.22,13.71,13.2,13.5,1875500,0.0,0
2008-09-04,13.21,13.34,13.01,13.06,1155800,0.0,0
