Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,496.47,496.47,490.86,492.64,16400,0.0,0
2008-01-03,483.93,494.83,483.93,491.67,26200,0.0,0
2008-01-04,491.91,492.64,489.92,491.67,25100,0.0,0
2008-01-07,491.15,491.67,483.93,483.93,11000,0.0,0
2008-01-08,483.93,485.79,482.53,483.93,22900,0.0,0
2008-01-09,483.93,485.84,481.05,482.48,19100,0.0,0
2008-01-10,483.93,488.74,482.3,486.13,19900,0.0,0
2008-01-11,486.13,486.13,467.88,469.41,19900,0.0,0
2008-01-14,471.34,475.22,465.54,465.54,44800,0.0,0
2008-01-15,465.58,471.33,458.08,458.08,21600,0.0,0
2008-01-16,455.86,463.61,454.89,454.89,25100,0.0,0
2008-01-17,450.53,454.88,445.21,445.41,15600,0.0,0
2008-01-18,444.24,452.38,434.91,446.18,23200,0.0,0
2008-01-22,440.37,457.31,440.37,448.54,14000,0.0,0
2008-01-23,441.34,468.44,440.37,450.06,13500,0.0,0
2008-01-24,463.7,463.7,445.21,445.21,17700,0.0,0
2008-01-25,446.32,454.89,439.41,447.15,17500,0.0,0
2008-01-28,449.08,464.57,441.86,464.57,17800,0.0,0
2008-01-29,463.89,464.52,454.52,458.76,16700,0.0,0
2008-01-30,454.39,467.3,453.92,453.92,16300,0.0,0
2008-01-31,456.83,469.41,454.89,469.41,18800,0.0,0
2008-02-01,466.07,479.99,464.15,479.57,10800,0.0,0
2008-02-04,493.6,493.6,472.31,472.31,28100,0.0,0
2008-02-05,476.18,481.01,465.54,465.54,17100,0.0,0
2008-02-06,469.41,479.57,456.03,464.94,18200,0.0,0
2008-02-07,466.6,473.89,459.73,473.89,8800,0.0,0
2008-02-08,474.25,474.25,454.89,454.89,24300,0.0,0
2008-02-11,456.83,459.73,452.02,455.86,23600,0.0,0
2008-02-12,459.73,472.8,457.79,466.89,14100,0.0,0
2008-02-13,471.15,472.12,463.26,469.41,9500,0.0,0
2008-02-14,472.31,472.7,462.15,467.47,9400,0.0,0
2008-02-15,468.95,469.41,457.89,469.41,7400,0.0,0
2008-02-19,470.38,472.12,464.68,470.38,6700,0.0,0
2008-02-20,465.78,483.92,463.6,483.92,12900,0.0,0
2008-02-21,483.93,486.35,477.39,481.51,16200,0.0,0
2008-02-22,470.91,483.87,468.76,482.96,8500,0.0,0
2008-02-25,480.98,480.98,467.8,479.08,15700,0.0,0
2008-02-26,474.25,484.77,471.59,483.93,12200,0.0,0
2008-02-27,483.93,484.02,479.98,483.76,14400,0.0,0
2008-02-28,483.93,483.93,479.1,479.1,10400,0.0,0
2008-02-29,482.6,482.6,473.28,477.54,9600,0.0,0
2008-03-03,465.97,475.7,454.9,466.71,16600,0.0,0
2008-03-04,462.15,466.26,461.18,462.63,7100,0.0,0
2008-03-05,458.76,471.33,457.09,464.81,8000,0.0,0
2008-03-06,469.41,472.25,462.63,462.63,10800,0.0,0
2008-03-07,463.6,465.48,459.86,462.63,9000,0.0,0
2008-03-10,454.96,464.51,438.37,438.37,41300,0.0,0
2008-03-11,441.34,464.57,437.48,464.57,30900,0.0,0
2008-03-12,459.73,461.67,445.21,448.12,43300,0.0,0
2008-03-13,446.04,463.59,443.3,463.14,18900,2.0,0
2008-03-14,466.58,471.44,463.67,466.68,16800,0.0,0
2008-03-17,456.86,458.8,445.36,447.14,21000,0.0,0
2008-03-18,451.03,462.7,444.32,454.43,29200,0.0,0
2008-03-19,456.86,456.86,447.14,448.12,21800,0.0,0
2008-03-20,447.14,466.58,442.67,466.58,13300,0.0,0
2008-03-24,464.14,469.5,452.5,458.9,21100,0.0,0
2008-03-25,458.9,469.36,452.99,465.51,23100,0.0,0
2008-03-26,469.5,470.47,459.72,461.74,13700,0.0,0
2008-03-27,460.27,464.81,458.97,461.72,16300,0.0,0
2008-03-28,466.1,466.58,461.73,464.54,11600,0.0,0
2008-03-31,464.3,467.36,459.69,466.58,26200,0.0,0
2008-04-01,466.58,471.43,462.88,467.56,25600,0.0,0
2008-04-02,463.67,467.07,456.91,456.91,36700,0.0,0
2008-04-03,456.91,464.75,453.09,453.66,20700,0.0,0
2008-04-04,456.86,458.58,448.6,448.6,20100,0.0,0
2008-04-07,457.84,457.84,446.54,446.9,21800,0.0,0
2008-04-08,447.14,451.52,447.14,447.14,18200,0.0,0
2008-04-09,446.18,459.77,446.18,458.81,13700,0.0,0
2008-04-10,455.64,463.77,455.64,463.67,8600,0.0,0
2008-04-11,466.13,467.56,459.78,462.7,12400,0.0,0
2008-04-14,461.24,467.18,456.38,456.38,9400,0.0,0
2008-04-15,455.11,458.81,453.43,458.81,10500,0.0,0
2008-04-16,458.81,471.44,458.81,465.61,39600,0.0,0
2008-04-17,462.7,466.58,459.77,466.58,13800,0.0,0
2008-04-18,466.58,466.58,462.21,462.21,7400,0.0,0
2008-04-21,462.17,462.7,452.01,455.89,44000,0.0,0
2008-04-22,456.38,461.28,451.91,452.98,12000,0.0,0
2008-04-23,455.11,455.11,448.16,448.55,7400,0.0,0
2008-04-24,449.09,465.13,448.36,465.13,18800,0.0,0
2008-04-25,466.58,466.58,451.46,457.84,10100,0.0,0
2008-04-28,453.07,455.41,450.16,454.46,9500,0.0,0
2008-04-29,452.0,466.2,452.0,463.67,14500,0.0,0
2008-04-30,462.7,473.75,461.8,462.79,16700,0.0,0
2008-05-01,465.61,469.99,463.67,469.99,7900,0.0,0
2008-05-02,469.49,471.44,458.8,471.44,10000,0.0,0
2008-05-05,469.5,469.5,448.82,456.86,21700,0.0,0
2008-05-06,452.22,452.59,445.38,450.13,20400,0.0,0
2008-05-07,447.64,452.3,442.77,442.77,19000,0.0,0
2008-05-08,443.74,455.65,440.34,447.17,17600,0.0,0
2008-05-09,456.37,456.37,442.86,453.82,14200,0.0,0
2008-05-12,456.86,463.65,447.15,451.52,18600,0.0,0
2008-05-13,446.17,460.28,446.17,460.11,10000,0.0,0
2008-05-14,463.91,466.58,459.29,461.57,18500,0.0,0
2008-05-15,465.61,465.61,458.35,459.78,10600,0.0,0
2008-05-16,459.44,459.92,452.97,453.95,13500,0.0,0
2008-05-19,453.95,459.78,449.28,457.08,6000,0.0,0
2008-05-20,455.89,459.46,453.58,459.29,11900,0.0,0
2008-05-21,456.1,462.21,452.0,453.95,12100,0.0,0
2008-05-22,450.63,466.44,447.21,464.25,17800,0.0,0
2008-05-23,465.22,465.97,454.88,454.88,22100,0.0,0
2008-05-27,454.88,465.61,454.19,465.61,47100,0.0,0
2008-05-28,465.61,471.43,461.79,471.43,50300,0.0,0
2008-05-29,477.28,479.95,470.47,470.47,35900,0.0,0
2008-05-30,474.31,474.34,461.75,463.67,100500,0.0,0
2008-06-02,459.78,463.58,446.96,450.84,20100,0.0,0
2008-06-03,453.95,471.92,449.2,469.99,28000,0.0,0
2008-06-04,467.56,471.69,451.25,453.7,16100,0.0,0
2008-06-05,457.84,460.44,449.15,460.44,14100,0.0,0
2008-06-06,455.65,456.18,447.14,447.14,11300,0.0,0
2008-06-09,449.09,449.09,442.23,444.23,12500,0.0,0
2008-06-10,441.31,452.59,441.31,447.73,13000,0.0,0
2008-06-11,447.92,447.92,434.46,434.46,6400,0.0,0
2008-06-12,434.61,449.06,434.61,440.53,7000,2.0,0
2008-06-13,444.27,444.27,423.69,437.08,14400,0.0,0
2008-06-16,438.4,441.2,431.63,437.68,6300,0.0,0
2008-06-17,437.68,439.88,424.74,437.24,14000,0.0,0
2008-06-18,432.55,439.39,431.58,431.58,12300,0.0,0
2008-06-19,431.58,433.35,427.85,431.58,6500,0.0,0
2008-06-20,432.97,436.45,429.62,429.87,14900,0.0,0
2008-06-23,422.79,430.62,420.45,420.45,16300,0.0,0
2008-06-24,415.95,425.47,415.95,425.47,13000,0.0,0
2008-06-25,430.48,432.34,424.76,429.62,10500,0.0,0
2008-06-26,426.7,430.42,418.95,420.84,22700,0.0,0
2008-06-27,422.79,429.62,395.44,424.55,40300,0.0,0
2008-06-30,422.79,426.53,415.0,418.88,18600,0.0,0
2008-07-01,414.98,424.2,413.53,418.2,15200,0.0,0
2008-07-02,419.43,426.74,416.68,420.85,23900,0.0,0
2008-07-03,419.87,425.47,419.86,422.83,6300,0.0,0
2008-07-07,414.98,424.64,414.0,419.87,15200,0.0,0
2008-07-08,422.79,431.17,417.98,428.84,19000,0.0,0
2008-07-09,430.11,440.37,429.62,429.62,31800,0.0,0
2008-07-10,432.54,433.85,418.92,421.81,23400,0.0,0
2008-07-11,417.42,418.57,406.19,406.19,21600,0.0,0
2008-07-14,409.61,416.88,406.19,410.1,23800,0.0,0
2008-07-15,407.17,407.43,394.48,394.48,15700,0.0,0
2008-07-16,397.24,404.64,380.09,404.47,43700,0.0,0
2008-07-17,396.36,416.93,396.36,416.93,28400,0.0,0
2008-07-18,415.46,415.46,402.45,410.1,33000,0.0,0
2008-07-21,405.7,410.1,399.36,400.23,32900,0.0,0
2008-07-22,396.82,423.74,395.55,423.05,24000,0.0,0
2008-07-23,421.37,429.98,412.76,424.74,25400,0.0,0
2008-07-24,422.79,422.79,410.27,412.15,26900,0.0,0
2008-07-25,416.77,426.48,413.06,419.23,15300,0.0,0
2008-07-28,422.77,423.77,413.34,416.98,21800,0.0,0
2008-07-29,414.98,425.77,414.98,425.77,30100,0.0,0
2008-07-30,425.26,433.58,420.84,430.6,17900,0.0,0
2008-07-31,434.51,438.28,425.28,426.21,9700,0.0,0
2008-08-01,426.21,431.59,425.56,431.38,16700,0.0,0
2008-08-04,434.51,434.51,418.13,421.33,21100,0.0,0
2008-08-05,412.39,426.21,412.39,419.76,35500,0.0,0
2008-08-06,419.86,424.64,414.93,414.98,21800,0.0,0
2008-08-07,415.22,421.55,404.4,407.66,29900,0.0,0
2008-08-08,404.24,432.97,404.24,432.97,26900,0.0,0
2008-08-11,429.53,436.31,428.62,435.34,19100,0.0,0
2008-08-12,430.6,437.64,426.9,432.11,41500,0.0,0
2008-08-13,433.53,433.53,410.2,415.96,33100,0.0,0
2008-08-14,414.99,433.43,414.29,433.43,24700,0.0,0
2008-08-15,435.29,437.76,429.62,437.76,10500,0.0,0
2008-08-18,439.39,440.37,424.72,426.21,17700,0.0,0
2008-08-19,424.74,430.59,424.74,425.72,17300,0.0,0
2008-08-20,422.79,427.57,422.4,423.77,11800,0.0,0
2008-08-21,421.81,436.95,420.82,434.51,11600,0.0,0
2008-08-22,436.46,442.32,427.67,442.32,21300,0.0,0
2008-08-25,437.87,441.73,430.59,440.71,30000,0.0,0
2008-08-26,445.25,448.14,436.88,448.14,37900,0.0,0
2008-08-27,445.51,455.14,445.31,455.14,18800,0.0,0
2008-08-28,454.52,463.76,454.09,461.36,22700,0.0,0
2008-08-29,457.55,461.84,450.91,461.75,21700,0.0,0
2008-09-02,461.43,465.42,453.64,463.8,33300,0.0,0
2008-09-03,463.8,467.81,462.16,465.26,15300,0.0,0
2008-09-04,461.16,462.7,450.13,450.26,31800,0.0,0
2008-09-05,448.68,465.27,448.68,465.25,28200,0.0,0
2008-09-08,477.47,481.84,460.08,470.15,27600,0.0,0
2008-09-09,462.0,467.19,456.88,457.45,31300,0.0,0
2008-09-10,458.92,467.12,457.6,465.02,24000,0.0,0
2008-09-11,460.38,464.77,447.22,453.95,16900,0.0,0
2008-09-12,450.84,468.68,450.84,463.08,13800,0.0,0
2008-09-15,455.01,468.68,420.85,452.86,41900,0.0,0
2008-09-16,454.04,471.95,449.88,471.61,65200,0.0,0
2008-09-17,466.73,471.71,439.61,447.2,47200,0.0,0
2008-09-18,437.44,484.68,437.44,483.33,52400,0.0,0
2008-09-19,474.54,512.62,474.54,497.97,50100,0.0,0
2008-09-22,483.33,483.33,464.78,464.78,11900,0.0,0
2008-09-23,459.9,469.66,458.07,460.82,8400,0.0,0
2008-09-24,454.11,475.49,451.31,469.05,6000,0.0,0
2008-09-25,473.55,478.45,468.68,470.63,10200,0.0,0
2008-09-26,467.7,468.68,445.25,451.11,14600,0.0,0
2008-09-29,456.96,456.96,395.45,395.45,15700,0.0,0
2008-09-30,405.21,463.79,405.21,458.67,31900,0.0,0
2008-10-01,449.15,463.25,439.4,441.34,22600,0.0,0
2008-10-02,444.27,444.27,405.21,405.22,16600,0.0,0
2008-10-03,419.86,424.74,403.71,405.31,17600,0.0,0
2008-10-06,395.18,400.33,381.78,381.78,18800,0.0,0
2008-10-07,379.83,395.26,366.4,366.4,19100,0.0,0
2008-10-08,351.51,372.02,338.82,338.82,22300,0.0,0
2008-10-09,342.72,347.15,302.69,302.69,73400,0.0,0
2008-10-10,273.4,302.49,258.75,290.0,76300,0.0,0
2008-10-13,294.39,349.56,294.39,349.56,25300,0.0,0
2008-10-14,331.98,358.0,331.98,348.83,58100,0.0,0
2008-10-15,333.94,339.75,307.57,307.57,34900,0.0,0
2008-10-16,300.74,315.37,299.76,309.57,45100,0.0,0
2008-10-17,299.76,331.01,299.76,326.12,51100,0.0,0
2008-10-20,317.34,335.07,313.24,332.08,38600,0.0,0
2008-10-21,326.12,336.86,324.19,324.32,15300,0.0,0
2008-10-22,309.52,328.08,295.86,295.86,33700,0.0,0
2008-10-23,305.62,308.55,283.97,298.78,28900,0.0,0
2008-10-24,283.16,310.38,283.16,296.83,17500,0.0,0
2008-10-27,295.4,301.42,281.21,281.21,11200,0.0,0
2008-10-28,288.82,308.55,274.59,305.26,39600,0.0,0
2008-10-29,305.26,318.31,299.76,312.5,38800,0.0,0
2008-10-30,313.43,324.41,303.56,323.68,38700,0.0,0
2008-10-31,323.68,339.93,311.34,336.38,16900,0.0,0
2008-11-03,331.98,343.77,327.8,336.86,19800,0.0,0
2008-11-04,330.03,345.65,330.03,345.65,29900,0.0,0
2008-11-05,339.79,350.0,337.84,338.82,31000,0.0,0
2008-11-06,338.89,341.11,313.72,322.22,34000,0.0,0
2008-11-07,328.08,341.6,313.49,327.1,29900,0.0,0
2008-11-10,326.12,331.98,315.38,315.38,18000,0.0,0
2008-11-11,310.5,320.17,309.43,313.72,18200,0.0,0
2008-11-12,310.6,315.38,300.74,300.74,22300,0.0,0
2008-11-13,298.78,339.79,291.02,339.79,41400,0.0,0
2008-11-14,331.98,343.45,309.79,311.48,30600,0.0,0
2008-11-17,312.45,312.45,263.63,273.4,62700,0.0,0
2008-11-18,276.81,277.89,259.55,266.97,42100,0.0,0
2008-11-19,267.54,268.52,238.07,238.15,35600,0.0,0
2008-11-20,244.01,244.01,202.63,207.49,71800,0.0,0
2008-11-21,212.86,218.67,190.4,206.76,67300,0.0,0
2008-11-24,209.93,255.98,209.76,251.92,64800,0.0,0
2008-11-25,244.1,258.26,234.34,258.26,87800,0.0,0
2008-11-26,253.87,263.76,250.58,258.31,45800,0.0,0
2008-11-28,251.92,263.63,251.92,263.63,26000,0.0,0
2008-12-01,258.75,258.75,230.02,231.46,50100,0.0,0
2008-12-02,239.22,252.34,236.44,249.96,42900,0.0,0
2008-12-03,242.15,258.75,242.15,255.82,55700,0.0,0
2008-12-04,255.82,260.35,241.77,244.59,27400,0.0,0
2008-12-05,243.2,261.68,239.22,258.75,36500,0.0,0
2008-12-08,258.8,262.63,250.1,253.87,40000,0.0,0
2008-12-09,255.63,257.77,246.06,253.73,42900,0.0,0
2008-12-10,253.87,253.87,244.09,244.2,21000,0.0,0
2008-12-11,244.1,254.85,235.32,235.32,90100,0.0,0
2008-12-12,239.22,253.52,233.2,252.4,28800,0.0,0
2008-12-15,246.06,250.24,242.56,245.08,16600,0.0,0
2008-12-16,258.75,273.4,251.86,265.59,44300,0.0,0
2008-12-17,268.52,269.61,263.63,267.64,23900,0.0,0
2008-12-18,278.28,278.28,254.36,254.36,24400,0.0,0
2008-12-19,261.68,264.32,256.81,262.66,30600,0.0,0
2008-12-22,263.54,263.58,244.5,247.42,16100,0.0,0
2008-12-23,247.38,251.82,240.51,243.13,17600,0.0,0
2008-12-24,241.18,246.06,234.49,246.06,6900,0.0,0
2008-12-26,243.29,243.29,234.89,237.51,9800,0.0,0
2008-12-29,241.47,242.98,231.41,242.13,13900,0.0,0
2008-12-30,242.91,256.26,239.23,253.87,19900,0.0,0
2008-12-31,256.8,261.98,250.97,260.81,33700,0.0,0
2009-01-02,258.26,261.57,246.17,257.19,21400,0.0,0
2009-01-05,257.19,270.98,247.08,269.14,36600,0.0,0
2009-01-06,269.14,281.05,269.14,279.26,17900,0.0,0
2009-01-07,274.37,274.72,257.87,257.87,23300,0.0,0
2009-01-08,260.05,273.38,258.81,268.46,17300,0.0,0
2009-01-09,270.96,271.43,262.66,268.52,25200,0.0,0
2009-01-12,264.47,269.98,264.47,265.58,37800,0.0,0
2009-01-13,268.41,281.55,268.41,278.72,21100,0.0,0
2009-01-14,274.37,274.37,253.87,253.87,25600,0.0,0
2009-01-15,254.36,273.4,249.04,255.82,47200,0.0,0
2009-01-16,260.22,277.29,260.22,268.58,35000,0.0,0
2009-01-20,262.66,277.14,238.75,240.3,62700,0.0,0
2009-01-21,248.01,268.52,244.6,268.52,49000,0.0,0
2009-01-22,263.63,268.18,251.35,264.61,53400,0.0,0
2009-01-23,260.86,262.65,255.09,262.23,25500,0.0,0
2009-01-26,267.02,272.18,258.75,258.75,18500,0.0,0
2009-01-27,266.56,269.22,259.94,266.56,31500,0.0,0
2009-01-28,277.3,277.3,259.75,271.15,84200,0.0,0
2009-01-29,265.59,265.59,240.39,241.18,39800,0.0,0
2009-01-30,246.42,253.43,235.81,235.81,23500,0.0,0
2009-02-02,238.98,243.13,224.46,232.99,33300,0.0,0
2009-02-03,236.29,236.29,218.72,225.95,63500,0.0,0
2009-02-04,223.6,227.02,218.72,223.36,47600,0.0,0
2009-02-05,225.55,226.66,221.27,225.55,59700,0.0,0
2009-02-06,228.85,236.09,220.92,231.61,72100,0.0,0
2009-02-09,227.51,229.0,221.89,224.82,46800,0.0,0
2009-02-10,224.82,225.55,214.81,217.12,50600,0.0,0
2009-02-11,219.69,228.95,218.01,226.95,46700,0.0,0
2009-02-12,220.52,226.4,217.8,222.87,70800,0.0,0
2009-02-13,225.06,228.97,218.72,218.72,36100,0.0,0
2009-02-17,215.79,225.54,208.95,208.95,39300,0.0,0
2009-02-18,210.91,219.74,210.91,212.86,34400,0.0,0
2009-02-19,213.25,220.67,202.38,204.56,32800,0.0,0
2009-02-20,204.56,208.09,196.76,203.1,62300,0.0,0
2009-02-23,207.0,210.44,195.11,195.28,54200,0.0,0
2009-02-24,190.4,201.75,188.66,199.84,110200,0.0,0
2009-02-25,195.77,195.77,182.6,189.91,60100,0.0,0
