Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.38,12.53,12.33,12.45,1028800,0.0,0.0
2008-01-03,12.61,12.89,12.54,12.66,1207000,0.0,0.0
2008-01-04,12.56,12.73,12.51,12.55,1067600,0.0,0.0
2008-01-07,12.61,12.82,12.52,12.59,1200200,0.0,0.0
2008-01-08,12.61,12.73,12.39,12.4,1468000,0.0,0.0
2008-01-09,12.41,12.45,12.2,12.4,1222300,0.0,0.0
2008-01-10,12.31,12.4,12.13,12.32,1272100,0.0,0.0
2008-01-11,12.35,12.35,11.99,12.04,995800,0.0,0.0
2008-01-14,12.14,12.4,12.08,12.32,954300,0.0,0.0
2008-01-15,12.19,12.24,11.88,11.97,1209100,0.0,0.0
2008-01-16,11.92,12.03,11.53,11.61,1638800,0.0,0.0
2008-01-17,11.63,12.1,11.57,11.82,2567700,0.0,0.0
2008-01-18,11.84,12.07,11.63,11.72,1758700,0.0,0.0
2008-01-22,11.43,11.46,10.55,11.15,4006000,0.0,0.0
2008-01-23,11.02,11.29,10.53,11.27,3267300,0.0,0.0
2008-01-24,11.25,11.34,11.01,11.23,1722000,0.0,0.0
2008-01-25,11.29,11.34,11.01,11.08,1423700,0.0,0.0
2008-01-28,11.06,11.31,11.06,11.25,1230700,0.0,0.0
2008-01-29,11.33,11.61,11.19,11.57,1637000,0.0,0.0
2008-01-30,11.53,11.8,11.42,11.44,1826100,0.0,0.0
2008-01-31,11.35,11.73,11.25,11.67,1422000,0.0,0.0
2008-02-01,11.67,11.91,11.55,11.86,1884100,0.0,0.0
2008-02-04,11.84,12.12,11.72,12.04,1338000,0.0,0.0
2008-02-05,11.87,11.97,11.62,11.63,1288500,0.0,0.0
2008-02-06,11.69,11.78,11.52,11.67,1209700,0.0,0.0
2008-02-07,11.63,11.9,11.56,11.74,1620100,0.0,0.0
2008-02-08,11.67,11.8,11.58,11.65,816700,0.0,0.0
2008-02-11,11.64,11.74,11.5,11.7,641300,0.0,0.0
2008-02-12,11.8,11.93,11.74,11.89,904300,0.0,0.0
2008-02-13,11.97,12.11,11.86,11.95,1066200,0.1,0.0
2008-02-14,12.01,12.12,11.82,11.98,1069700,0.0,0.0
2008-02-15,11.94,11.94,11.68,11.78,792100,0.0,0.0
2008-02-19,11.88,11.88,11.68,11.84,864100,0.0,0.0
2008-02-20,11.82,11.82,11.56,11.71,1008200,0.0,0.0
2008-02-21,11.78,11.86,11.42,11.42,883800,0.0,0.0
2008-02-22,11.48,11.61,11.32,11.58,1142100,0.0,0.0
2008-02-25,11.56,11.75,11.56,11.68,1244000,0.0,0.0
2008-02-26,11.59,11.94,11.56,11.9,852300,0.0,0.0
2008-02-27,11.97,12.01,11.33,11.76,2181500,0.0,0.0
2008-02-28,11.71,11.71,11.37,11.41,1189000,0.0,0.0
2008-02-29,11.32,11.36,11.11,11.23,1595800,0.0,0.0
2008-03-03,11.2,11.38,11.03,11.09,1400800,0.0,0.0
2008-03-04,11.0,11.33,11.0,11.19,1624800,0.0,0.0
2008-03-05,11.23,11.38,11.02,11.18,1567700,0.0,0.0
2008-03-06,11.12,11.19,10.86,10.86,1111500,0.0,0.0
2008-03-07,10.8,11.01,10.73,10.82,1224000,0.0,0.0
2008-03-10,10.81,10.84,10.71,10.72,864800,0.0,0.0
