Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.52,10.57,10.15,10.27,638800,0.0,0.0
2008-01-03,10.31,10.32,9.83,9.85,660200,0.0,0.0
2008-01-04,9.74,9.79,9.47,9.49,605200,0.0,0.0
2008-01-07,9.55,9.68,9.31,9.45,1067400,0.0,0.0
2008-01-08,9.48,9.63,9.18,9.2,793400,0.0,0.0
2008-01-09,9.15,9.51,9.11,9.51,513600,0.0,0.0
2008-01-10,9.29,9.67,9.26,9.41,921000,0.0,0.0
2008-01-11,9.34,9.38,9.04,9.11,554800,0.0,0.0
2008-01-14,9.24,9.24,9.0,9.04,584000,0.0,0.0
2008-01-15,8.84,8.95,8.69,8.83,926000,0.0,0.0
2008-01-16,8.79,9.06,8.67,8.72,1103200,0.0,0.0
2008-01-17,8.78,8.94,8.65,8.91,830000,0.0,0.0
2008-01-18,8.79,8.99,8.71,8.95,1647400,0.0,0.0
2008-01-22,8.58,9.49,8.57,9.37,1262600,0.0,0.0
2008-01-23,9.11,10.09,9.01,10.04,1451800,0.0,0.0
2008-01-24,10.04,10.17,9.29,9.3,2135200,0.0,0.0
2008-01-25,9.45,9.49,9.03,9.14,1494600,0.0,0.0
2008-01-28,9.11,9.45,8.96,9.29,1014600,0.0,0.0
2008-01-29,9.28,9.49,9.03,9.42,1201200,0.0,0.0
2008-01-30,10.11,11.0,9.75,10.05,2706800,0.0,0.0
2008-01-31,10.01,11.11,9.93,10.92,1724400,0.0,0.0
2008-02-01,10.99,11.44,10.97,11.25,1072800,0.0,0.0
2008-02-04,11.2,11.32,11.12,11.16,1139400,0.0,0.0
2008-02-05,11.01,11.31,10.82,10.83,986600,0.0,0.0
2008-02-06,10.89,11.15,10.77,10.81,847000,0.0,0.0
2008-02-07,10.77,11.29,10.65,11.27,980600,0.0,0.0
2008-02-08,11.22,11.31,11.03,11.13,974400,0.0,0.0
2008-02-11,11.09,11.48,11.0,11.38,805000,0.0,0.0
2008-02-12,11.41,11.58,11.3,11.49,934000,0.0,0.0
2008-02-13,11.62,11.71,11.38,11.58,842000,0.0,0.0
2008-02-14,11.63,11.64,11.29,11.37,667000,0.0,0.0
2008-02-15,11.25,11.27,10.97,11.08,1139800,0.0,0.0
2008-02-19,11.21,11.55,11.13,11.48,938000,0.0,0.0
2008-02-20,11.42,11.68,11.34,11.65,934000,0.0,0.0
2008-02-21,11.65,11.75,11.35,11.42,823000,0.0,0.0
2008-02-22,11.42,11.44,11.1,11.23,1005200,0.0,0.0
2008-02-25,11.22,11.53,11.11,11.44,1338200,0.0,0.0
2008-02-26,11.27,11.69,11.27,11.38,1336200,0.0,0.0
2008-02-27,11.25,11.53,11.2,11.53,1143600,0.0,0.0
2008-02-28,11.46,11.78,11.38,11.53,1455200,0.0,0.0
2008-02-29,11.43,11.76,11.29,11.44,1435600,0.0,0.0
2008-03-03,11.42,11.7,11.3,11.65,1136800,0.0,0.0
2008-03-04,11.55,11.7,11.43,11.62,1364000,0.0,0.0
2008-03-05,11.65,11.83,11.46,11.6,669600,0.0,0.0
2008-03-06,11.52,11.6,11.22,11.25,593200,0.0,0.0
