Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.41,18.49,17.84,17.93,1867500,0.0,0.0
2008-01-03,18.05,18.21,17.93,18.1,2158200,0.0,0.0
2008-01-04,17.97,17.97,17.2,17.2,2988500,0.0,0.0
2008-01-07,17.27,17.58,16.96,17.08,2549300,0.0,0.0
2008-01-08,17.22,17.51,16.66,16.72,3793000,0.0,0.0
2008-01-09,16.65,16.67,16.18,16.65,3863600,0.0,0.0
2008-01-10,16.42,17.02,16.26,16.86,2867900,0.0,0.0
2008-01-11,16.63,16.8,16.39,16.55,2074900,0.0,0.0
2008-01-14,16.71,17.01,16.47,16.96,1698200,0.0,0.0
2008-01-15,16.79,16.82,16.3,16.31,1797100,0.0,0.0
2008-01-16,16.27,16.6,16.09,16.26,2671200,0.0,0.0
2008-01-17,16.36,16.5,15.76,15.82,2356000,0.0,0.0
2008-01-18,15.99,16.82,15.72,15.9,3888100,0.0,0.0
2008-01-22,15.37,16.05,15.19,15.72,4007800,0.0,0.0
2008-01-23,15.4,16.4,15.05,16.33,4076000,0.0,0.0
2008-01-24,16.45,16.46,15.85,15.98,3573200,0.0,0.0
2008-01-25,15.98,16.32,15.72,15.9,2317900,0.0,0.0
2008-01-28,15.98,16.27,15.75,16.27,1991700,0.0,0.0
2008-01-29,16.4,16.78,16.27,16.69,1590300,0.0,0.0
2008-01-30,16.73,17.18,16.47,16.7,1659100,0.6,0.0
2008-01-31,16.47,17.22,16.31,17.11,2195000,0.0,0.0
2008-02-01,17.04,17.59,17.03,17.59,2561400,0.0,0.0
2008-02-04,17.52,17.93,17.16,17.21,1500500,0.0,0.0
2008-02-05,16.89,17.0,16.48,16.48,1734700,0.0,0.0
2008-02-06,16.56,16.81,16.23,16.27,1395800,0.0,0.0
2008-02-07,16.31,16.58,16.15,16.37,1630300,0.0,0.0
2008-02-08,16.05,16.08,15.46,15.77,3865500,0.0,0.0
2008-02-11,15.74,16.22,15.74,16.16,1661100,0.0,0.0
2008-02-12,16.23,16.27,15.72,15.79,3173200,0.0,0.0
2008-02-13,15.89,16.28,15.69,15.95,3104700,0.0,0.0
2008-02-14,15.99,16.1,15.69,15.92,2952000,0.0,0.0
2008-02-15,16.13,16.19,15.87,16.16,2254700,0.0,0.0
2008-02-19,16.31,16.42,15.76,15.85,1521700,0.0,0.0
2008-02-20,15.72,16.1,15.54,16.1,2127500,0.0,0.0
2008-02-21,16.1,16.35,15.76,15.8,1565900,0.0,0.0
2008-02-22,15.91,16.04,15.59,16.03,2665000,0.0,0.0
2008-02-25,15.92,16.58,15.86,16.54,2183600,0.0,0.0
2008-02-26,16.47,16.68,16.28,16.54,1826000,0.0,0.0
2008-02-27,16.42,16.6,16.29,16.36,1572100,0.0,0.0
2008-02-28,16.21,16.34,15.94,16.01,1962100,0.0,0.0
2008-02-29,15.94,15.99,15.39,15.48,2778200,0.0,0.0
2008-03-03,15.43,15.85,15.43,15.77,2125800,0.0,0.0
2008-03-04,15.6,15.66,15.18,15.6,4854400,0.0,0.0
2008-03-05,15.63,15.99,15.49,15.97,2420000,0.0,0.0
2008-03-06,15.86,15.89,15.44,15.45,2461500,0.0,0.0
2008-03-07,15.36,15.72,15.14,15.2,4352200,0.0,0.0
2008-03-10,15.25,15.25,14.74,14.92,3512600,0.0,0.0
2008-03-11,15.66,15.94,15.09,15.64,4276900,0.0,0.0
2008-03-12,15.64,16.16,15.55,15.8,3339400,0.0,0.0
2008-03-13,15.55,16.04,15.06,15.98,2910400,0.0,0.0
2008-03-14,16.03,16.07,15.43,15.68,2654800,0.0,0.0
2008-03-17,15.55,16.4,15.43,15.95,5211300,0.0,0.0
2008-03-18,16.14,16.3,15.72,16.29,4081000,0.0,0.0
2008-03-19,16.31,16.46,15.77,15.77,2609300,0.0,0.0
2008-03-20,15.87,16.06,15.49,16.03,3722200,0.0,0.0
2008-03-24,16.06,16.57,16.05,16.42,3447000,0.0,0.0
2008-03-25,16.44,16.94,16.31,16.77,2742800,0.0,0.0
2008-03-26,16.72,16.82,16.32,16.53,1723900,0.0,0.0
2008-03-27,16.6,16.71,16.25,16.32,1818100,0.0,0.0
