Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.14,11.34,10.69,10.74,568400,0,0
2008-01-03,10.8,10.94,10.45,10.49,724100,0,0
2008-01-04,10.38,10.51,10.0,10.07,1496974,0,0
2008-01-07,10.11,10.21,9.92,9.92,755500,0,0
2008-01-08,9.98,10.23,9.91,10.01,823900,0,0
2008-01-09,10.02,10.15,9.69,9.98,415600,0,0
2008-01-10,9.86,10.34,9.83,10.14,339500,0,0
2008-01-11,10.08,10.28,9.7,9.85,299500,0,0
2008-01-14,10.0,10.09,9.7,9.78,467300,0,0
2008-01-15,9.61,9.7,9.35,9.38,623642,0,0
2008-01-16,9.49,9.5,8.94,9.37,527050,0,0
2008-01-17,9.31,9.6,9.1,9.45,351300,0,0
2008-01-18,9.56,9.75,9.39,9.48,481700,0,0
2008-01-22,9.0,10.1,9.0,9.94,417700,0,0
2008-01-23,9.73,10.62,9.73,10.56,1494210,0,0
2008-01-24,10.77,10.9,10.31,10.37,459100,0,0
2008-01-25,10.57,10.67,9.6,9.94,578500,0,0
2008-01-28,9.91,9.91,9.21,9.63,408700,0,0
2008-01-29,9.71,9.94,9.44,9.66,188100,0,0
2008-01-30,9.61,9.77,9.44,9.53,587519,0,0
2008-01-31,9.49,10.14,9.32,10.14,2372400,0,0
2008-02-01,10.23,11.87,10.2,11.8,3048100,0,0
2008-02-04,11.79,11.79,10.72,11.13,232100,0,0
2008-02-05,10.81,11.1,10.6,10.65,602100,0,0
2008-02-06,10.68,10.77,10.21,10.35,333100,0,0
2008-02-07,10.33,10.68,10.15,10.67,462300,0,0
2008-02-08,10.62,10.63,10.38,10.48,463500,0,0
2008-02-11,10.5,10.5,10.14,10.29,409400,0,0
2008-02-12,10.34,10.61,10.27,10.3,63900,0,0
2008-02-13,10.44,10.9,10.44,10.9,111700,0,0
2008-02-14,10.9,10.9,10.18,10.39,392100,0,0
2008-02-15,10.27,10.43,10.1,10.43,320000,0,0
2008-02-19,10.59,10.59,10.18,10.44,86800,0,0
2008-02-20,10.35,10.41,9.98,10.24,435000,0,0
2008-02-21,10.33,10.56,10.14,10.21,192900,0,0
2008-02-22,10.22,10.27,10.05,10.27,437750,0,0
2008-02-25,10.05,10.26,9.84,10.14,211500,0,0
2008-02-26,10.05,10.32,9.87,10.08,228500,0,0
2008-02-27,9.96,10.28,9.82,10.0,278300,0,0
2008-02-28,10.0,10.17,9.6,9.62,172900,0,0
2008-02-29,9.48,9.61,8.87,9.11,582313,0,0
2008-03-03,9.06,9.14,8.36,8.95,949580,0,0
2008-03-04,8.68,8.69,7.95,8.1,1565290,0,0
2008-03-05,8.17,8.25,7.97,8.06,597400,0,0
2008-03-06,8.0,8.14,7.62,7.76,526800,0,0
2008-03-07,7.69,8.11,7.66,8.01,625000,0,0
2008-03-10,8.01,8.13,7.9,8.01,367100,0,0
2008-03-11,8.19,8.26,7.95,8.1,1100100,0,0
2008-03-12,8.14,8.41,8.13,8.16,393488,0,0
2008-03-13,7.95,7.95,7.4,7.75,708510,0,0
2008-03-14,7.8,7.8,7.21,7.26,491500,0,0
2008-03-17,6.87,7.03,6.42,6.92,621700,0,0
2008-03-18,7.01,7.39,6.99,7.39,326400,0,0
2008-03-19,7.5,7.58,7.35,7.35,349200,0,0
2008-03-20,7.74,8.0,7.34,7.34,1028810,0,0
2008-03-24,7.35,8.14,7.35,7.95,269600,0,0
2008-03-25,8.01,8.01,7.73,7.93,125300,0,0
2008-03-26,7.91,8.42,7.86,8.29,463000,0,0
2008-03-27,8.3,8.4,8.25,8.4,551458,0,0
2008-03-28,8.25,8.27,7.68,7.72,723300,0,0
2008-03-31,7.75,7.82,7.59,7.6,256600,0,0
2008-04-01,7.71,7.82,7.46,7.62,597400,0,0
2008-04-02,7.6,7.76,7.52,7.59,169200,0,0
2008-04-03,7.51,7.63,7.45,7.54,107400,0,0
2008-04-04,7.49,7.54,7.26,7.33,288500,0,0
2008-04-07,7.37,7.52,7.19,7.29,361000,0,0
2008-04-08,7.22,7.28,6.92,7.1,890291,0,0
2008-04-09,8.7,9.13,7.38,7.57,3168018,0,0
2008-04-10,7.58,7.62,7.2,7.51,685600,0,0
2008-04-11,7.44,7.53,7.26,7.34,315900,0,0
2008-04-14,7.49,7.49,7.14,7.16,145169,0,0
2008-04-15,7.22,7.33,6.87,7.07,372958,0,0
2008-04-16,7.13,7.19,7.0,7.14,269071,0,0
2008-04-17,7.12,7.15,6.78,6.93,472559,0,0
2008-04-18,7.0,7.13,6.93,7.1,429724,0,0
2008-04-21,7.03,7.4,7.0,7.08,258302,0,0
2008-04-22,7.04,7.09,6.7,6.77,376160,0,0
2008-04-23,6.75,7.03,6.58,6.65,331278,0,0
2008-04-24,6.64,7.0,6.61,6.93,290642,0,0
2008-04-25,6.97,7.0,6.69,6.82,156247,0,0
2008-04-28,6.5,6.5,6.12,6.4,738996,0,0
2008-04-29,6.4,6.4,6.25,6.29,334243,0,0
2008-04-30,6.31,6.4,6.06,6.1,273742,0,0
2008-05-01,6.12,6.55,6.12,6.5,602429,0,0
2008-05-02,6.56,6.57,6.43,6.45,311145,0,0
2008-05-05,6.48,6.74,6.28,6.58,500662,0,0
2008-05-06,6.6,6.66,6.4,6.61,351189,0,0
2008-05-07,6.63,6.67,6.37,6.41,266450,0,0
2008-05-08,6.42,6.48,6.22,6.27,242288,0,0
2008-05-09,6.23,6.37,6.15,6.3,127080,0,0
2008-05-12,6.32,6.37,6.18,6.3,143727,0,0
2008-05-13,6.3,6.33,6.15,6.16,113186,0,0
2008-05-14,6.2,6.51,6.2,6.49,379287,0,0
2008-05-15,6.48,6.48,6.17,6.34,420993,0,0
2008-05-16,6.35,6.35,6.2,6.29,868747,0,0
2008-05-19,6.29,6.55,6.22,6.26,483162,0,0
2008-05-20,6.24,6.26,6.08,6.2,196476,0,0
2008-05-21,6.22,6.22,5.89,5.94,228533,0,0
2008-05-22,5.95,6.18,5.93,6.14,380676,0,0
2008-05-23,6.11,6.12,5.96,6.11,210511,0,0
2008-05-27,6.1,6.16,5.91,5.95,279133,0,0
2008-05-28,5.95,5.98,5.63,5.72,440595,0,0
2008-05-29,5.72,6.29,5.69,6.25,421452,0,0
2008-05-30,6.27,6.27,6.06,6.22,317989,0,0
2008-06-02,6.17,6.26,5.94,6.2,580326,0,0
2008-06-03,6.21,6.21,5.96,5.96,278915,0,0
2008-06-04,6.04,6.12,5.95,6.05,209537,0,0
2008-06-05,6.07,6.1,5.98,6.1,155915,0,0
2008-06-06,6.11,6.12,5.87,5.91,182529,0,0
2008-06-09,5.9,6.09,5.82,5.93,298637,0,0
2008-06-10,5.88,6.36,5.85,6.23,269219,0,0
2008-06-11,6.2,6.22,5.7,5.71,251958,0,0
2008-06-12,5.77,5.96,5.72,5.77,231061,0,0
2008-06-13,5.84,5.95,5.78,5.9,81259,0,0
2008-06-16,5.87,6.08,5.86,6.03,193416,0,0
2008-06-17,6.03,6.06,5.83,5.87,161922,0,0
2008-06-18,5.83,5.98,5.65,5.83,380896,0,0
2008-06-19,5.83,6.03,5.77,6.0,131567,0,0
2008-06-20,5.99,6.06,5.76,5.95,338813,0,0
2008-06-23,5.96,6.05,5.74,5.75,239286,0,0
2008-06-24,5.7,6.05,5.62,5.78,180009,0,0
2008-06-25,5.8,6.01,5.75,5.85,203547,0,0
2008-06-26,5.78,5.83,5.65,5.75,141728,0,0
2008-06-27,5.76,6.07,5.62,5.97,659218,0,0
2008-06-30,5.99,6.32,5.72,5.74,268000,0,0
2008-07-01,5.71,6.31,5.63,6.28,961564,0,0
2008-07-02,6.25,6.36,6.06,6.14,252423,0,0
2008-07-03,6.14,6.33,5.95,6.23,84721,0,0
2008-07-07,6.28,6.96,6.24,6.94,537205,0,0
2008-07-08,6.95,6.95,6.64,6.95,578982,0,0
2008-07-09,6.64,6.64,5.12,6.07,940315,0,0
2008-07-10,6.05,6.34,5.85,5.92,643693,0,0
2008-07-11,5.81,6.0,5.7,5.92,270309,0,0
2008-07-14,5.9,5.92,5.59,5.59,199634,0,0
2008-07-15,5.51,5.72,5.32,5.58,548196,0,0
2008-07-16,5.61,5.78,5.48,5.72,380041,0,0
2008-07-17,5.73,6.51,5.67,6.5,426339,0,0
2008-07-18,5.25,6.41,5.24,6.09,510080,0,0
2008-07-21,6.06,6.4,6.06,6.24,82659,0,0
2008-07-22,6.24,6.89,6.18,6.85,231915,0,0
2008-07-23,6.81,6.94,6.62,6.73,281694,0,0
2008-07-24,6.91,7.04,6.5,6.79,265372,0,0
2008-07-25,6.84,7.0,6.71,6.85,253264,0,0
2008-07-28,6.72,7.07,6.42,6.49,246753,0,0
2008-07-29,6.65,6.97,6.49,6.89,401985,0,0
2008-07-30,6.94,7.05,6.66,6.75,393351,0,0
2008-07-31,6.75,6.92,6.7,6.83,550462,0,0
2008-08-01,6.95,6.95,6.57,6.65,375921,0,0
2008-08-04,6.66,7.04,6.62,6.8,391641,0,0
2008-08-05,6.89,7.03,6.72,6.96,343853,0,0
2008-08-06,7.0,7.25,6.8,7.16,322238,0,0
2008-08-07,7.11,7.11,6.68,6.72,467471,0,0
2008-08-08,6.74,7.1,6.73,7.01,565879,0,0
2008-08-11,7.02,7.72,6.91,7.4,527021,0,0
2008-08-12,7.36,7.55,7.07,7.19,585986,0,0
2008-08-13,7.2,7.33,7.0,7.25,327425,0,0
2008-08-14,7.22,7.65,7.22,7.46,296628,0,0
2008-08-15,7.56,7.9,7.19,7.48,395179,0,0
2008-08-18,7.52,7.57,7.25,7.41,157979,0,0
2008-08-19,7.26,7.3,6.81,6.88,326074,0,0
2008-08-20,6.88,7.06,6.65,6.77,262576,0,0
2008-08-21,6.74,6.79,6.4,6.42,188835,0,0
2008-08-22,6.47,6.68,6.46,6.56,164120,0,0
2008-08-25,6.54,6.54,6.26,6.34,416547,0,0
2008-08-26,6.34,6.7,6.31,6.7,439451,0,0
2008-08-27,6.85,6.85,6.7,6.73,275522,0,0
2008-08-28,6.73,6.94,6.73,6.86,185888,0,0
2008-08-29,6.85,6.89,6.59,6.69,268680,0,0
2008-09-02,6.85,7.14,6.76,7.04,392863,0,0
2008-09-03,7.04,7.45,7.02,7.39,609858,0,0
2008-09-04,7.35,7.37,7.21,7.35,313470,0,0
2008-09-05,7.31,7.65,7.28,7.6,321061,0,0
2008-09-08,7.8,8.25,7.8,8.1,649240,0,0
2008-09-09,8.09,8.22,7.97,7.98,548219,0,0
2008-09-10,8.1,8.18,7.95,8.01,392992,0,0
2008-09-11,7.94,8.11,7.76,8.0,294201,0,0
2008-09-12,7.92,8.05,7.83,7.95,196703,0,0
2008-09-15,7.89,8.02,7.7,7.89,263527,0,0
2008-09-16,7.5,7.95,7.5,7.95,426571,0,0
2008-09-17,7.82,7.91,7.68,7.75,419378,0,0
2008-09-18,7.8,8.27,7.69,8.05,1098431,0,0
2008-09-19,7.82,8.41,7.82,8.0,1317466,0,0
2008-09-22,7.79,8.07,7.65,7.72,246688,0,0
2008-09-23,7.64,7.79,7.33,7.55,436334,0,0
2008-09-24,7.55,7.67,7.35,7.35,174898,0,0
2008-09-25,7.33,7.51,7.3,7.48,1652405,0,0
2008-09-26,7.31,7.38,7.12,7.18,281904,0,0
2008-09-29,7.18,7.18,6.7,6.87,269227,0,0
2008-09-30,6.9,6.96,6.31,6.46,1796596,0,0
2008-10-01,6.43,6.57,6.36,6.36,214546,0,0
2008-10-02,6.31,6.37,5.88,5.95,246909,0,0
2008-10-03,6.0,6.05,5.36,5.36,368464,0,0
2008-10-06,5.28,5.28,4.76,4.94,1802413,0,0
2008-10-07,4.15,4.76,4.0,4.05,915819,0,0
2008-10-08,4.1,4.5,4.04,4.05,1004643,0,0
2008-10-09,4.08,4.25,3.75,3.79,476971,0,0
2008-10-10,3.64,4.11,3.59,3.9,608781,0,0
2008-10-13,3.98,4.15,3.89,4.1,369977,0,0
2008-10-14,4.24,4.26,3.89,4.06,468093,0,0
2008-10-15,4.04,4.04,3.57,3.6,424546,0,0
2008-10-16,3.68,3.84,3.44,3.63,431224,0,0
2008-10-17,3.52,3.67,3.46,3.5,289441,0,0
2008-10-20,3.52,3.55,3.35,3.49,206439,0,0
2008-10-21,3.47,3.47,3.26,3.35,303688,0,0
2008-10-22,3.28,3.35,3.23,3.25,187651,0,0
2008-10-23,3.25,3.25,2.75,2.97,799644,0,0
2008-10-24,2.65,3.0,2.65,2.79,211075,0,0
2008-10-27,2.79,2.89,2.64,2.71,443884,0,0
2008-10-28,2.75,3.06,2.5,2.75,368987,0,0
2008-10-29,2.76,3.29,2.73,3.0,610429,0,0
2008-10-30,3.08,3.3,3.08,3.3,718224,0,0
2008-10-31,3.3,3.38,3.09,3.23,680984,0,0
2008-11-03,3.17,3.23,2.84,3.08,216774,0,0
2008-11-04,3.05,3.15,2.99,3.1,469111,0,0
2008-11-05,3.07,3.14,2.9,2.94,917430,0,0
2008-11-06,2.92,2.94,2.77,2.78,540752,0,0
2008-11-07,2.8,2.85,2.74,2.8,255227,0,0
2008-11-10,2.87,2.93,2.6,2.62,248003,0,0
2008-11-11,2.59,2.7,2.47,2.64,720197,0,0
2008-11-12,2.61,2.65,1.91,2.03,1346375,0,0
2008-11-13,2.07,2.55,1.96,2.53,804067,0,0
2008-11-14,2.49,2.5,1.89,2.31,308255,0,0
2008-11-17,2.12,2.59,2.12,2.49,260862,0,0
2008-11-18,2.49,2.57,2.15,2.17,1093165,0,0
2008-11-19,2.18,2.18,1.72,1.74,498696,0,0
2008-11-20,1.72,2.09,1.62,1.9,393318,0,0
2008-11-21,1.93,2.23,1.9,2.18,303547,0,0
2008-11-24,2.28,2.84,2.08,2.75,423843,0,0
2008-11-25,2.83,2.83,2.39,2.69,368671,0,0
2008-11-26,2.59,2.85,2.56,2.85,293206,0,0
2008-11-28,2.81,3.01,2.78,3.01,50619,0,0
2008-12-01,3.06,3.06,2.16,2.19,235570,0,0
2008-12-02,2.23,2.34,2.08,2.34,85251,0,0
2008-12-03,2.29,2.83,2.28,2.62,197841,0,0
2008-12-04,2.59,2.86,2.59,2.68,210686,0,0
